Country,detail,Price,Size,Moy_prix_by_size
Ariana,Sokra,185000.0,109.0,1697.2477064220184
Ariana,Sokra,235000.0,125.0,1880.0
Ariana,Sokra,419452.0,180.0,2330.288888888889
Ariana,Sokra,280000.0,129.0,2170.5426356589146
Ariana,Sokra,89880.0,53.0,1695.8490566037735
Ariana,Sokra,410000.0,143.0,2867.132867132867
Ariana,Sokra,149000.0,70.0,2128.5714285714284
Ariana,Sokra,230000.0,118.0,1949.1525423728813
Ariana,Sokra,288418.0,125.0,2307.344
Ariana,Sokra,1700.0,130.0,13.076923076923075
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,305000.0,131.0,2328.2442748091603
Ariana,Sokra,367000.0,145.0,2531.0344827586205
Ariana,Sokra,323400.0,147.0,2200.0
Ariana,Sokra,405000.0,167.0,2425.1497005988026
Ariana,Sokra,89040.0,53.0,1680.0
Ariana,Sokra,239750.0,138.0,1737.3188405797105
Ariana,Sokra,210000.0,105.0,2000.0
Ariana,Sokra,272000.0,129.0,2108.5271317829456
Ariana,Sokra,500000.0,232.0,2155.1724137931037
Ariana,Sokra,215000.0,90.0,2388.8888888888887
Ariana,Sokra,250000.0,111.0,2252.2522522522518
Ariana,Sokra,85680.0,51.0,1680.0
Ariana,Sokra,159000.0,70.0,2271.428571428572
Ariana,Sokra,225400.0,130.0,1733.8461538461538
Ariana,Sokra,299000.0,140.0,2135.714285714286
Ariana,Sokra,230000.0,120.0,1916.666666666667
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,600000.0,230.0,2608.695652173913
Ariana,Sokra,429300.0,159.0,2700.0
Ariana,Sokra,440000.0,162.0,2716.049382716049
Ariana,Sokra,380000.0,180.0,2111.1111111111113
Ariana,Sokra,198170.0,111.0,1785.3153153153153
Ariana,Sokra,450000.0,179.0,2513.966480446928
Ariana,Sokra,222000.0,111.0,2000.0
Ariana,Sokra,385000.0,159.0,2421.383647798742
Ariana,Sokra,211190.0,121.0,1745.3719008264466
Ariana,Sokra,250000.0,104.0,2403.846153846154
Ariana,Sokra,350000.0,175.0,2000.0
Ariana,Sokra,2500.0,65.0,38.46153846153846
Ariana,Sokra,140000.0,80.0,1750.0
Ariana,Sokra,255000.0,120.0,2125.0
Ariana,Sokra,500000.0,246.0,2032.520325203252
Ariana,Sokra,275000.0,126.0,2182.5396825396824
Ariana,Sokra,125000.0,56.0,2232.1428571428573
Ariana,Sokra,165000.0,70.0,2357.142857142857
Ariana,Sokra,95760.0,57.0,1680.0
Ariana,Sokra,175000.0,75.0,2333.333333333333
Ariana,Sokra,175000.0,72.0,2430.555555555556
Ariana,Sokra,600000.0,310.0,1935.483870967742
Ariana,Sokra,334896.0,145.0,2309.6275862068965
Ariana,Sokra,381250.0,140.0,2723.214285714286
Ariana,Sokra,350000.0,2.0,175000.0
Ariana,Sokra,275000.0,136.0,2022.058823529412
Ariana,Sokra,188000.0,100.0,1880.0
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,175000.0,75.0,2333.333333333333
Ariana,Sokra,261988.0,131.0,1999.9083969465646
Ariana,Sokra,159000.0,70.0,2271.428571428572
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,600000.0,310.0,1935.483870967742
Ariana,Sokra,599000.0,260.0,2303.846153846154
Ariana,Sokra,450000.0,148.0,3040.540540540541
Ariana,Sokra,195000.0,90.0,2166.6666666666665
Ariana,Sokra,260000.0,130.0,2000.0
Ariana,Sokra,300000.0,102.0,2941.1764705882347
Ariana,Sokra,259000.0,135.0,1918.5185185185185
Ariana,Sokra,210000.0,116.0,1810.344827586207
Ariana,Sokra,275000.0,136.0,2022.058823529412
Ariana,Sokra,390000.0,230.0,1695.6521739130435
Ariana,Sokra,168000.0,74.0,2270.2702702702704
Ariana,Sokra,385000.0,159.0,2421.383647798742
Ariana,Sokra,2500.0,143.0,17.482517482517483
Ariana,Sokra,170000.0,147.0,1156.4625850340135
Ariana,Sokra,250000.0,104.0,2403.846153846154
Ariana,Sokra,390000.0,230.0,1695.6521739130435
Ariana,Sokra,89880.0,54.0,1664.4444444444446
Ariana,Sokra,108000.0,60.0,1800.0
Ariana,Sokra,550000.0,250.0,2200.0
Ariana,Sokra,215000.0,90.0,2388.8888888888887
Ariana,Sokra,700000.0,254.0,2755.905511811024
Ariana,Sokra,700000.0,254.0,2755.905511811024
Ariana,Sokra,185000.0,109.0,1697.2477064220184
