Country,detail,Price,Size,Moy_prix_by_size
Ariana,Menzah,165.0,100.0,1.65
Ariana,Menzah,10000.0,700.0,14.285714285714285
Ariana,Menzah,165.0,100.0,1.65
Ariana,Menzah,1000.0,140.0,7.142857142857142
Ariana,Menzah,1200.0,210.0,5.7142857142857135
Ariana,Menzah,1200.0,150.0,8.0
Ariana,Menzah,900.0,120.0,7.5
Ariana,Menzah,1500.0,138.0,10.869565217391305
Ariana,Menzah,1500.0,140.0,10.714285714285714
Ariana,Menzah,3500.0,500.0,7.0
Ariana,Menzah,900.0,80.0,11.25
Ariana,Menzah,3000.0,250.0,12.0
Ariana,Menzah,850.0,160.0,5.3125
Ariana,Menzah,850.0,125.0,6.8
Ariana,Menzah,580.0,110.0,5.2727272727272725
Ariana,Menzah,1050.0,140.0,7.5
Ariana,Menzah,750.0,50.0,15.0
Ariana,Menzah,780.0,60.0,13.0
Ariana,Menzah,950.0,100.0,9.5
Ariana,Menzah,470.0,80.0,5.875
Ariana,Menzah,2000.0,200.0,10.0
Ariana,Menzah,685.0,82.0,8.353658536585368
Ariana,Menzah,1400.0,160.0,8.75
Ariana,Menzah,700.0,100.0,7.0
Ariana,Menzah,560.0,59.0,9.491525423728813
Ariana,Menzah,560.0,59.0,9.491525423728813
Ariana,Menzah,1500.0,200.0,7.5
Ariana,Menzah,800.0,120.0,6.666666666666668
Ariana,Menzah,1000.0,110.0,9.090909090909092
Ariana,Menzah,790.0,60.0,13.166666666666664
Ariana,Menzah,1500.0,124.0,12.096774193548386
Ariana,Menzah,1300.0,280.0,4.642857142857143
Ariana,Menzah,700.0,100.0,7.0
Ariana,Menzah,1800.0,250.0,7.2
Ariana,Menzah,650.0,70.0,9.285714285714286
Ariana,Menzah,500.0,40.0,12.5
Ariana,Menzah,750.0,100.0,7.5
Ariana,Menzah,490.0,60.0,8.166666666666666
Ariana,Menzah,2500.0,350.0,7.142857142857142
Ariana,Menzah,590.0,75.0,7.866666666666666
Ariana,Menzah,900.0,100.0,9.0
Ariana,Menzah,1300.0,130.0,10.0
Ariana,Menzah,9000.0,800.0,11.25
Ariana,Menzah,1000.0,135.0,7.407407407407407
Ariana,Menzah,750.0,110.0,6.8181818181818175
Ariana,Menzah,700.0,70.0,10.0
Ariana,Menzah,950.0,100.0,9.5
Ariana,Menzah,2500.0,1635.0,1.529051987767584
Ariana,Menzah,1200.0,120.0,10.0
Ariana,Menzah,900.0,135.0,6.666666666666668
Ariana,Menzah,600.0,65.0,9.23076923076923
Ariana,Menzah,750.0,130.0,5.769230769230768
Ariana,Menzah,800.0,150.0,5.333333333333333
Ariana,Menzah,1050.0,150.0,7.0
Ariana,Menzah,1250.0,120.0,10.416666666666666
Ariana,Menzah,1100.0,74.0,14.864864864864865
Ariana,Menzah,700.0,100.0,7.0
Ariana,Menzah,550.0,70.0,7.857142857142858
Ariana,Menzah,1750.0,210.0,8.333333333333334
Ariana,Menzah,400.0,40.0,10.0
Ariana,Menzah,750.0,40.0,18.75
Ariana,Menzah,600.0,75.0,8.0
Ariana,Menzah,650.0,120.0,5.416666666666668
Ariana,Menzah,670.0,140.0,4.785714285714286
Ariana,Menzah,940.0,120.0,7.833333333333332
Ariana,Menzah,600.0,15.0,40.0
Ariana,Menzah,1500.0,180.0,8.333333333333334
Ariana,Menzah,1200.0,200.0,6.0
Ariana,Menzah,900.0,50.0,18.0
Ariana,Menzah,1050.0,208.0,5.0480769230769225
Ariana,Menzah,1150.0,133.0,8.646616541353383
Ariana,Menzah,1300.0,500.0,2.6
Ariana,Menzah,6000.0,590.0,10.169491525423727
Ariana,Menzah,1000.0,169.0,5.9171597633136095
Ariana,Menzah,1050.0,120.0,8.75
Ariana,Menzah,550.0,60.0,9.166666666666666
Ariana,Menzah,680.0,70.0,9.714285714285714
Ariana,Menzah,2500.0,650.0,3.8461538461538463
Ariana,Menzah,500.0,33.0,15.151515151515152
Ariana,Menzah,1250.0,200.0,6.25
Ariana,Menzah,500.0,50.0,10.0
Ariana,Menzah,1500.0,40.0,37.5
Ariana,Menzah,1100.0,160.0,6.875
Ariana,Menzah,850.0,130.0,6.538461538461537
Ariana,Menzah,1800.0,450.0,4.0
Ariana,Menzah,1000.0,100.0,10.0
Ariana,Menzah,700.0,88.0,7.954545454545454
Ariana,Menzah,1500.0,400.0,3.75
Ariana,Menzah,650.0,50.0,13.0
Ariana,Menzah,1300.0,150.0,8.666666666666666
Ariana,Menzah,750.0,128.0,5.859375
Ariana,Menzah,360.0,30.0,12.0
Ariana,Menzah,770.0,110.0,7.0
Ariana,Menzah,1500.0,450.0,3.333333333333333
Ariana,Menzah,1100.0,200.0,5.5
Ariana,Menzah,650.0,110.0,5.909090909090909
