Country,detail,Price,Size,Moy_prix_by_size
Ariana,Ennasr,180000.0,68.0,2647.0588235294117
Ariana,Ennasr,258000.0,99.0,2606.060606060606
Ariana,Ennasr,260000.0,130.0,2000.0
Ariana,Ennasr,175075.0,76.0,2303.618421052632
Ariana,Ennasr,419000.0,156.0,2685.897435897436
Ariana,Ennasr,308000.0,145.0,2124.1379310344832
Ariana,Ennasr,328960.0,132.0,2492.121212121212
Ariana,Ennasr,315000.0,162.0,1944.4444444444446
Ariana,Ennasr,358000.0,170.0,2105.8823529411766
Ariana,Ennasr,352000.0,132.0,2666.6666666666665
Ariana,Ennasr,110000.0,39.0,2820.5128205128203
Ariana,Ennasr,439000.0,184.0,2385.8695652173915
Ariana,Ennasr,181000.0,60.0,3016.666666666666
Ariana,Ennasr,369760.0,176.0,2100.909090909091
Ariana,Ennasr,985800.0,283.0,3483.39222614841
Ariana,Ennasr,367000.0,132.0,2780.3030303030305
Ariana,Ennasr,560000.0,180.0,3111.1111111111113
Ariana,Ennasr,125000.0,60.0,2083.333333333333
Ariana,Ennasr,183000.0,73.0,2506.849315068493
Ariana,Ennasr,300000.0,150.0,2000.0
Ariana,Ennasr,175000.0,68.0,2573.5294117647063
Ariana,Ennasr,222000.0,80.0,2775.0
Ariana,Ennasr,550000.0,150.0,3666.666666666666
Ariana,Ennasr,293000.0,118.0,2483.050847457627
Ariana,Ennasr,486000.0,184.0,2641.304347826087
Ariana,Ennasr,215000.0,134.0,1604.4776119402984
Ariana,Ennasr,260000.0,140.0,1857.142857142857
Ariana,Ennasr,185000.0,72.0,2569.444444444445
Ariana,Ennasr,356000.0,137.0,2598.540145985401
Ariana,Ennasr,308000.0,145.0,2124.1379310344832
Ariana,Ennasr,400000.0,180.0,2222.222222222222
Ariana,Ennasr,551000.0,155.0,3554.8387096774195
Ariana,Ennasr,223000.0,106.0,2103.7735849056603
Ariana,Ennasr,540000.0,209.0,2583.732057416268
Ariana,Ennasr,125000.0,60.0,2083.333333333333
Ariana,Ennasr,310000.0,164.0,1890.2439024390244
Ariana,Ennasr,498000.0,172.0,2895.3488372093025
Ariana,Ennasr,498000.0,172.0,2895.3488372093025
Ariana,Ennasr,490000.0,178.0,2752.808988764045
