Country,detail,Price,Size,Moy_prix_by_size
Ariana,Sokra,175000.0,75.0,2333.333333333333
Ariana,Sokra,195000.0,90.0,2166.6666666666665
Ariana,Sokra,380000.0,134.0,2835.8208955223877
Ariana,Sokra,225000.0,105.0,2142.8571428571427
Ariana,Sokra,320000.0,124.0,2580.6451612903224
Ariana,Sokra,198170.0,111.0,1785.3153153153153
Ariana,Sokra,340000.0,145.0,2344.827586206897
Ariana,Sokra,159000.0,70.0,2271.428571428572
Ariana,Sokra,260000.0,122.0,2131.1475409836066
Ariana,Sokra,275000.0,136.0,2022.058823529412
Ariana,Sokra,335000.0,140.0,2392.857142857143
Ariana,Sokra,272000.0,129.0,2108.5271317829456
Ariana,Sokra,375000.0,156.0,2403.846153846154
Ariana,Sokra,148400.0,106.0,1400.0
Ariana,Sokra,385000.0,159.0,2421.383647798742
Ariana,Sokra,4150000.0,250.0,16600.0
Ariana,Sokra,223440.0,133.0,1680.0
Ariana,Sokra,250000.0,111.0,2252.2522522522518
Ariana,Sokra,440000.0,162.0,2716.049382716049
Ariana,Sokra,300000.0,119.0,2521.008403361345
Ariana,Sokra,281600.0,128.0,2200.0
Ariana,Sokra,210000.0,105.0,2000.0
Ariana,Sokra,410000.0,143.0,2867.132867132867
Ariana,Sokra,316000.0,137.0,2306.569343065693
Ariana,Sokra,440000.0,144.0,3055.555555555556
Ariana,Sokra,260000.0,120.0,2166.6666666666665
Ariana,Sokra,375000.0,156.0,2403.846153846154
Ariana,Sokra,365000.0,175.0,2085.714285714286
Ariana,Sokra,183000.0,147.0,1244.8979591836735
Ariana,Sokra,500.0,100.0,5.0
Ariana,Sokra,570000.0,228.0,2500.0
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,410000.0,170.0,2411.7647058823527
Ariana,Sokra,680000.0,324.0,2098.7654320987654
Ariana,Sokra,165000.0,70.0,2357.142857142857
Ariana,Sokra,410000.0,19.0,21578.947368421053
Ariana,Sokra,2500.0,143.0,17.482517482517483
Ariana,Sokra,600000.0,310.0,1935.483870967742
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,188000.0,100.0,1880.0
Ariana,Sokra,381250.0,140.0,2723.214285714286
Ariana,Sokra,470000.0,200.0,2350.0
Ariana,Sokra,470000.0,179.0,2625.6983240223467
Ariana,Sokra,200000.0,85.0,2352.9411764705883
Ariana,Sokra,264000.0,110.0,2400.0
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,500.0,120.0,4.166666666666667
Ariana,Sokra,335461.0,169.0,1984.9763313609467
Ariana,Sokra,363000.0,158.0,2297.46835443038
Ariana,Sokra,230000.0,118.0,1949.1525423728813
Ariana,Sokra,418000.0,168.0,2488.095238095238
Ariana,Sokra,96040.0,53.0,1812.0754716981128
Ariana,Sokra,150360.0,89.0,1689.438202247191
Ariana,Sokra,205000.0,105.0,1952.3809523809525
Ariana,Sokra,570000.0,228.0,2500.0
Ariana,Sokra,215000.0,102.0,2107.843137254902
Ariana,Sokra,257000.0,136.0,1889.7058823529408
Ariana,Sokra,208000.0,106.0,1962.2641509433965
Ariana,Sokra,85680.0,51.0,1680.0
Ariana,Sokra,250000.0,136.0,1838.235294117647
Ariana,Sokra,462000.0,201.0,2298.507462686567
Ariana,Sokra,182000.0,65.0,2800.0
Ariana,Sokra,125000.0,56.0,2232.1428571428573
Ariana,Sokra,255000.0,120.0,2125.0
Ariana,Sokra,206000.0,118.0,1745.7627118644068
Ariana,Sokra,335000.0,157.0,2133.7579617834394
Ariana,Sokra,600000.0,310.0,1935.483870967742
Ariana,Sokra,261988.0,131.0,1999.9083969465646
Ariana,Sokra,165000.0,70.0,2357.142857142857
Ariana,Sokra,500000.0,246.0,2032.520325203252
Ariana,Sokra,260000.0,112.0,2321.428571428572
Ariana,Sokra,444000.0,195.0,2276.923076923077
Ariana,Sokra,260000.0,120.0,2166.6666666666665
Ariana,Sokra,367000.0,145.0,2531.0344827586205
Ariana,Sokra,350000.0,175.0,2000.0
Ariana,Sokra,700000.0,254.0,2755.905511811024
Ariana,Sokra,365000.0,163.0,2239.2638036809813
Ariana,Sokra,700000.0,254.0,2755.905511811024
