Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Ain zaghouan,170000.0,73.0,2328.7671232876714
Banlieue Nord,Ain zaghouan,105000.0,45.0,2333.333333333333
Banlieue Nord,Ain zaghouan,225000.0,120.0,1875.0
Banlieue Nord,Ain zaghouan,340000.0,147.0,2312.925170068027
Banlieue Nord,Ain zaghouan,225000.0,103.0,2184.4660194174758
Banlieue Nord,Ain zaghouan,280000.0,120.0,2333.333333333333
Banlieue Nord,Ain zaghouan,177000.0,90.0,1966.666666666667
Banlieue Nord,Ain zaghouan,490000.0,2.0,245000.0
Banlieue Nord,Ain zaghouan,350000.0,140.0,2500.0
Banlieue Nord,Ain zaghouan,178000.0,105.0,1695.2380952380954
Banlieue Nord,Ain zaghouan,650000.0,2.0,325000.0
Banlieue Nord,Ain zaghouan,200000.0,120.0,1666.666666666667
Banlieue Nord,Ain zaghouan,225000.0,96.0,2343.75
Banlieue Nord,Ain zaghouan,178000.0,105.0,1695.2380952380954
Banlieue Nord,Ain zaghouan,275000.0,118.0,2330.508474576271
Banlieue Nord,Ain zaghouan,260000.0,150.0,1733.333333333333
Banlieue Nord,Ain zaghouan,480000.0,240.0,2000.0
Banlieue Nord,Ain zaghouan,291400.0,148.0,1968.918918918919
Banlieue Nord,Ain zaghouan,330000.0,143.0,2307.692307692308
Banlieue Nord,Ain zaghouan,178000.0,105.0,1695.2380952380954
Banlieue Nord,Ain zaghouan,331600.0,164.0,2021.9512195121952
Banlieue Nord,Ain zaghouan,245000.0,130.0,1884.6153846153845
Banlieue Nord,Ain zaghouan,435000.0,162.0,2685.1851851851848
Banlieue Nord,Ain zaghouan,450000.0,600.0,750.0
Banlieue Nord,Ain zaghouan,178000.0,105.0,1695.2380952380954
Banlieue Nord,Ain zaghouan,250000.0,112.0,2232.1428571428573
Banlieue Nord,Ain zaghouan,360000.0,148.0,2432.4324324324325
Banlieue Nord,Ain zaghouan,480000.0,2.0,240000.0
Banlieue Nord,Ain zaghouan,528000.0,215.0,2455.8139534883717
Banlieue Nord,Ain zaghouan,370000.0,156.0,2371.794871794872
Banlieue Nord,Ain zaghouan,420000.0,146.0,2876.7123287671234
Banlieue Nord,Ain zaghouan,195000.0,67.0,2910.4477611940297
Banlieue Nord,Ain zaghouan,560000.0,200.0,2800.0
Banlieue Nord,Ain zaghouan,435000.0,208.0,2091.346153846154
Banlieue Nord,Ain zaghouan,240000.0,103.0,2330.097087378641
Banlieue Nord,Ain zaghouan,225000.0,103.0,2184.4660194174758
Banlieue Nord,Ain zaghouan,185000.0,92.0,2010.8695652173913
Banlieue Nord,Ain zaghouan,185000.0,92.0,2010.8695652173913
Banlieue Nord,Ain zaghouan,170000.0,73.0,2328.7671232876714
