Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Carthage,3000.0,119.0,25.210084033613445
Banlieue Nord,Carthage,520000.0,171.0,3040.93567251462
Banlieue Nord,Carthage,343565.0,94.0,3654.9468085106378
Banlieue Nord,Carthage,465000.0,145.0,3206.896551724138
Banlieue Nord,Carthage,345000.0,145.0,2379.310344827586
Banlieue Nord,Carthage,396000.0,146.0,2712.328767123288
Banlieue Nord,Carthage,1360000.0,350.0,3885.714285714286
Banlieue Nord,Carthage,630000.0,171.0,3684.2105263157896
Banlieue Nord,Carthage,800000.0,286.0,2797.2027972027972
Banlieue Nord,Carthage,380000.0,134.0,2835.8208955223877
Banlieue Nord,Carthage,703000.0,258.0,2724.8062015503874
Banlieue Nord,Carthage,784000.0,225.0,3484.444444444445
Banlieue Nord,Carthage,476000.0,171.0,2783.625730994152
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,485000.0,177.0,2740.1129943502824
Banlieue Nord,Carthage,280000.0,2.0,140000.0
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,650000.0,2.0,325000.0
Banlieue Nord,Carthage,485000.0,2.0,242500.0
Banlieue Nord,Carthage,270000.0,104.0,2596.153846153846
Banlieue Nord,Carthage,435000.0,136.0,3198.529411764706
Banlieue Nord,Carthage,440000.0,126.0,3492.0634920634916
Banlieue Nord,Carthage,977000.0,355.0,2752.112676056338
Banlieue Nord,Carthage,420000.0,150.0,2800.0
Banlieue Nord,Carthage,405000.0,153.0,2647.0588235294117
Banlieue Nord,Carthage,350000.0,2.0,175000.0
Banlieue Nord,Carthage,692000.0,236.0,2932.2033898305085
Banlieue Nord,Carthage,330000.0,2.0,165000.0
Banlieue Nord,Carthage,297000.0,91.0,3263.736263736264
Banlieue Nord,Carthage,690000.0,210.0,3285.714285714286
Banlieue Nord,Carthage,660000.0,241.0,2738.589211618257
Banlieue Nord,Carthage,630000.0,214.0,2943.9252336448603
Banlieue Nord,Carthage,445000.0,177.0,2514.124293785311
Banlieue Nord,Carthage,670000.0,2.0,335000.0
Banlieue Nord,Carthage,210000.0,163.0,1288.3435582822085
Banlieue Nord,Carthage,364000.0,130.0,2800.0
Banlieue Nord,Carthage,580000.0,204.0,2843.137254901961
Banlieue Nord,Carthage,339000.0,2.0,169500.0
Banlieue Nord,Carthage,820000.0,292.0,2808.219178082192
Banlieue Nord,Carthage,215000.0,66.0,3257.575757575757
Banlieue Nord,Carthage,623353.0,172.0,3624.1453488372094
Banlieue Nord,Carthage,380000.0,143.0,2657.342657342657
Banlieue Nord,Carthage,620000.0,2.0,310000.0
Banlieue Nord,Carthage,293000.0,73.0,4013.698630136986
Banlieue Nord,Carthage,217000.0,79.0,2746.8354430379745
Banlieue Nord,Carthage,360000.0,86.0,4186.046511627907
Banlieue Nord,Carthage,300000.0,107.0,2803.738317757009
Banlieue Nord,Carthage,560000.0,193.0,2901.5544041450776
Banlieue Nord,Carthage,514000.0,198.0,2595.959595959596
Banlieue Nord,Carthage,800000.0,2.0,400000.0
Banlieue Nord,Carthage,220000.0,74.0,2972.972972972973
Banlieue Nord,Carthage,330000.0,2.0,165000.0
Banlieue Nord,Carthage,405000.0,153.0,2647.0588235294117
Banlieue Nord,Carthage,483400.0,2.0,241700.0
Banlieue Nord,Carthage,230000.0,65.0,3538.4615384615386
Banlieue Nord,Carthage,653000.0,238.0,2743.697478991597
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,440000.0,163.0,2699.386503067485
Banlieue Nord,Carthage,420000.0,156.0,2692.3076923076924
Banlieue Nord,Carthage,440000.0,184.0,2391.304347826087
Banlieue Nord,Carthage,507600.0,188.0,2700.0
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,406000.0,150.0,2706.6666666666665
Banlieue Nord,Carthage,2600.0,71.0,36.619718309859145
Banlieue Nord,Carthage,562500.0,2.0,281250.0
Banlieue Nord,Carthage,653000.0,239.0,2732.217573221757
Banlieue Nord,Carthage,400000.0,168.0,2380.952380952381
Banlieue Nord,Carthage,750000.0,2.0,375000.0
Banlieue Nord,Carthage,480000.0,187.0,2566.8449197860964
Banlieue Nord,Carthage,1100000.0,2.0,550000.0
Banlieue Nord,Carthage,620000.0,2.0,310000.0
Banlieue Nord,Carthage,500000.0,205.0,2439.0243902439024
Banlieue Nord,Carthage,1400000.0,480.0,2916.666666666666
Banlieue Nord,Carthage,280000.0,91.0,3076.9230769230767
Banlieue Nord,Carthage,500000.0,187.0,2673.7967914438505
Banlieue Nord,Carthage,480000.0,192.0,2500.0
Banlieue Nord,Carthage,406000.0,150.0,2706.6666666666665
Banlieue Nord,Carthage,235000.0,133.0,1766.9172932330828
Banlieue Nord,Carthage,194300.0,58.0,3350.0
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,200000.0,63.0,3174.6031746031745
Banlieue Nord,Carthage,395000.0,150.0,2633.333333333333
Banlieue Nord,Carthage,3000.0,119.0,25.210084033613445
Banlieue Nord,Carthage,520000.0,171.0,3040.93567251462
Banlieue Nord,Carthage,343565.0,94.0,3654.9468085106378
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,436000.0,120.0,3633.333333333334
