Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Gammarth,280000.0,110.0,2545.454545454545
Banlieue Nord,Gammarth,260000.0,100.0,2600.0
Banlieue Nord,Gammarth,620000.0,185.0,3351.351351351351
Banlieue Nord,Gammarth,720000.0,180.0,4000.0
Banlieue Nord,Gammarth,700000.0,150.0,4666.666666666667
Banlieue Nord,Gammarth,170000.0,71.0,2394.3661971830984
Banlieue Nord,Gammarth,270000.0,170.0,1588.235294117647
Banlieue Nord,Gammarth,570000.0,150.0,3800.0
Banlieue Nord,Gammarth,1200000.0,400.0,3000.0
Banlieue Nord,Gammarth,410000.0,150.0,2733.333333333333
Banlieue Nord,Gammarth,1220000.0,190.0,6421.0526315789475
Banlieue Nord,Gammarth,290000.0,125.0,2320.0
Banlieue Nord,Gammarth,680000.0,220.0,3090.909090909091
Banlieue Nord,Gammarth,335.0,169.0,1.982248520710059
Banlieue Nord,Gammarth,2500.0,2.0,1250.0
Banlieue Nord,Gammarth,237000.0,112.0,2116.0714285714284
Banlieue Nord,Gammarth,375000.0,150.0,2500.0
Banlieue Nord,Gammarth,350000.0,115.0,3043.478260869565
Banlieue Nord,Gammarth,280000.0,110.0,2545.454545454545
Banlieue Nord,Gammarth,350000.0,115.0,3043.478260869565
