Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Marse,990000.0,380.0,2605.263157894737
Banlieue Nord,Marse,436000.0,81.0,5382.716049382716
Banlieue Nord,Marse,685000.0,2.0,342500.0
Banlieue Nord,Marse,320000.0,100.0,3200.0
Banlieue Nord,Marse,275000.0,167.0,1646.7065868263473
Banlieue Nord,Marse,689000.0,2.0,344500.0
Banlieue Nord,Marse,365000.0,140.0,2607.142857142857
Banlieue Nord,Marse,530000.0,177.0,2994.350282485876
Banlieue Nord,Marse,262661.0,167.0,1572.820359281437
Banlieue Nord,Marse,262661.0,167.0,1572.820359281437
Banlieue Nord,Marse,1600.0,2.0,800.0
Banlieue Nord,Marse,350000.0,130.0,2692.3076923076924
Banlieue Nord,Marse,300000.0,90.0,3333.333333333333
Banlieue Nord,Marse,450000.0,150.0,3000.0
Banlieue Nord,Marse,465000.0,141.0,3297.872340425532
Banlieue Nord,Marse,300000.0,99.0,3030.3030303030305
Banlieue Nord,Marse,340000.0,128.0,2656.25
Banlieue Nord,Marse,2000.0,180.0,11.111111111111109
Banlieue Nord,Marse,200000.0,100.0,2000.0
Banlieue Nord,Marse,450000.0,110.0,4090.909090909091
Banlieue Nord,Marse,800.0,130.0,6.153846153846153
Banlieue Nord,Marse,245000.0,60.0,4083.333333333334
Banlieue Nord,Marse,480000.0,167.0,2874.2514970059883
Banlieue Nord,Marse,1600.0,132.0,12.12121212121212
Banlieue Nord,Marse,3000.0,260.0,11.538461538461537
Banlieue Nord,Marse,300000.0,90.0,3333.333333333333
Banlieue Nord,Marse,260000.0,180.0,1444.4444444444446
Banlieue Nord,Marse,750000.0,120.0,6250.0
Banlieue Nord,Marse,948000.0,200.0,4740.0
Banlieue Nord,Marse,340000.0,143.0,2377.622377622378
Banlieue Nord,Marse,530000.0,180.0,2944.444444444445
Banlieue Nord,Marse,350000.0,100.0,3500.0
Banlieue Nord,Marse,210000.0,40.0,5250.0
Banlieue Nord,Marse,1400.0,2.0,700.0
Banlieue Nord,Marse,650000.0,136.0,4779.411764705882
Banlieue Nord,Marse,350000.0,100.0,3500.0
Banlieue Nord,Marse,550000.0,180.0,3055.555555555556
Banlieue Nord,Marse,240000.0,85.0,2823.529411764706
Banlieue Nord,Marse,457800.0,120.0,3815.0
