Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Marse,1800.0,110.0,16.363636363636363
Banlieue Nord,Marse,1400.0,100.0,14.0
Banlieue Nord,Marse,1400.0,100.0,14.0
Banlieue Nord,Marse,1500.0,100.0,15.0
Banlieue Nord,Marse,1200.0,90.0,13.333333333333336
Banlieue Nord,Marse,870.0,100.0,8.7
Banlieue Nord,Marse,1000.0,175.0,5.7142857142857135
Banlieue Nord,Marse,900.0,45.0,20.0
Banlieue Nord,Marse,1000.0,120.0,8.333333333333334
Banlieue Nord,Marse,1000.0,170.0,5.882352941176472
Banlieue Nord,Marse,1800.0,150.0,12.0
Banlieue Nord,Marse,1500.0,130.0,11.538461538461537
Banlieue Nord,Marse,600.0,95.0,6.315789473684211
Banlieue Nord,Marse,3000.0,220.0,13.636363636363635
Banlieue Nord,Marse,3500.0,195.0,17.94871794871795
Banlieue Nord,Marse,4550.0,270.0,16.85185185185185
Banlieue Nord,Marse,1150.0,135.0,8.518518518518519
Banlieue Nord,Marse,1800.0,120.0,15.0
Banlieue Nord,Marse,1300.0,120.0,10.833333333333336
Banlieue Nord,Marse,1500.0,70.0,21.428571428571427
Banlieue Nord,Marse,900.0,60.0,15.0
Banlieue Nord,Marse,650.0,60.0,10.833333333333336
Banlieue Nord,Marse,10000.0,1500.0,6.666666666666668
Banlieue Nord,Marse,1700.0,80.0,21.25
Banlieue Nord,Marse,800.0,100.0,8.0
Banlieue Nord,Marse,2300.0,220.0,10.454545454545457
Banlieue Nord,Marse,1000.0,80.0,12.5
Banlieue Nord,Marse,2800.0,180.0,15.555555555555555
Banlieue Nord,Marse,3000.0,250.0,12.0
Banlieue Nord,Marse,1700.0,180.0,9.444444444444443
Banlieue Nord,Marse,2200.0,200.0,11.0
Banlieue Nord,Marse,2000.0,85.0,23.529411764705888
Banlieue Nord,Marse,2000.0,82.0,24.39024390243902
Banlieue Nord,Marse,4000.0,280.0,14.285714285714285
Banlieue Nord,Marse,1700.0,110.0,15.454545454545455
Banlieue Nord,Marse,650.0,85.0,7.647058823529411
Banlieue Nord,Marse,1250.0,100.0,12.5
