Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Carthage,293000.0,93.0,3150.537634408602
Banlieue Nord,Carthage,950000.0,314.0,3025.477707006369
Banlieue Nord,Carthage,552000.0,230.0,2400.0
Banlieue Nord,Carthage,500000.0,178.0,2808.9887640449438
Banlieue Nord,Carthage,300.0,112.0,2.6785714285714284
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,1050000.0,400.0,2625.0
Banlieue Nord,Carthage,395000.0,138.0,2862.31884057971
Banlieue Nord,Carthage,501000.0,180.0,2783.333333333333
Banlieue Nord,Carthage,293000.0,73.0,4013.698630136986
Banlieue Nord,Carthage,345000.0,113.0,3053.0973451327427
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,424160.0,153.0,2772.2875816993464
Banlieue Nord,Carthage,410000.0,156.0,2628.2051282051284
Banlieue Nord,Carthage,394872.0,144.0,2742.1666666666665
Banlieue Nord,Carthage,297000.0,91.0,3263.736263736264
Banlieue Nord,Carthage,430000.0,177.0,2429.3785310734465
Banlieue Nord,Carthage,230000.0,147.0,1564.6258503401361
Banlieue Nord,Carthage,421200.0,162.0,2600.0
Banlieue Nord,Carthage,950000.0,316.0,3006.3291139240505
Banlieue Nord,Carthage,623353.0,172.0,3624.1453488372094
Banlieue Nord,Carthage,1400000.0,500.0,2800.0
Banlieue Nord,Carthage,1700000.0,370.0,4594.594594594595
Banlieue Nord,Carthage,360000.0,150.0,2400.0
Banlieue Nord,Carthage,518000.0,174.0,2977.011494252873
Banlieue Nord,Carthage,415000.0,160.0,2593.75
Banlieue Nord,Carthage,195000.0,67.0,2910.4477611940297
Banlieue Nord,Carthage,411000.0,179.0,2296.08938547486
Banlieue Nord,Carthage,364000.0,130.0,2800.0
Banlieue Nord,Carthage,237600.0,88.0,2700.0
Banlieue Nord,Carthage,692000.0,236.0,2932.2033898305085
Banlieue Nord,Carthage,580000.0,185.0,3135.135135135135
Banlieue Nord,Carthage,500000.0,187.0,2673.7967914438505
Banlieue Nord,Carthage,345500.0,156.0,2214.74358974359
Banlieue Nord,Carthage,450000.0,156.0,2884.615384615385
Banlieue Nord,Carthage,496000.0,138.0,3594.2028985507245
Banlieue Nord,Carthage,440000.0,184.0,2391.304347826087
Banlieue Nord,Carthage,630000.0,171.0,3684.2105263157896
Banlieue Nord,Carthage,200000.0,63.0,3174.6031746031745
Banlieue Nord,Carthage,263000.0,89.0,2955.0561797752807
Banlieue Nord,Carthage,395000.0,150.0,2633.333333333333
Banlieue Nord,Carthage,343565.0,94.0,3654.9468085106378
Banlieue Nord,Carthage,430000.0,128.0,3359.375
Banlieue Nord,Carthage,200000.0,63.0,3174.6031746031745
Banlieue Nord,Carthage,263000.0,89.0,2955.0561797752807
Banlieue Nord,Carthage,395000.0,150.0,2633.333333333333
Banlieue Nord,Carthage,343565.0,94.0,3654.9468085106378
Banlieue Nord,Carthage,400000.0,152.0,2631.578947368421
Banlieue Nord,Carthage,436000.0,120.0,3633.333333333334
