Country,detail,Price,Size,Moy_prix_by_size
Banlieue Nord,Marse,680000.0,270.0,2518.518518518519
Banlieue Nord,Marse,580000.0,145.0,4000.0
Banlieue Nord,Marse,880000.0,271.0,3247.2324723247234
Banlieue Nord,Marse,385000.0,145.0,2655.1724137931037
Banlieue Nord,Marse,340000.0,180.0,1888.888888888889
Banlieue Nord,Marse,413000.0,153.0,2699.346405228758
Banlieue Nord,Marse,250000.0,168.0,1488.095238095238
Banlieue Nord,Marse,240000.0,100.0,2400.0
Banlieue Nord,Marse,704000.0,258.0,2728.6821705426355
Banlieue Nord,Marse,460000.0,200.0,2300.0
Banlieue Nord,Marse,580000.0,242.0,2396.694214876033
Banlieue Nord,Marse,298000.0,77.0,3870.1298701298706
Banlieue Nord,Marse,2000.0,180.0,11.111111111111109
Banlieue Nord,Marse,300000.0,90.0,3333.333333333333
Banlieue Nord,Marse,406000.0,150.0,2706.6666666666665
Banlieue Nord,Marse,1200000.0,200.0,6000.0
Banlieue Nord,Marse,830000.0,250.0,3320.0
Banlieue Nord,Marse,950000.0,170.0,5588.235294117647
Banlieue Nord,Marse,661000.0,241.0,2742.738589211618
Banlieue Nord,Marse,394000.0,145.0,2717.2413793103447
Banlieue Nord,Marse,205000.0,74.0,2770.2702702702704
Banlieue Nord,Marse,300000.0,99.0,3030.3030303030305
Banlieue Nord,Marse,662000.0,241.0,2746.8879668049794
Banlieue Nord,Marse,465000.0,141.0,3297.872340425532
Banlieue Nord,Marse,450000.0,306.0,1470.5882352941173
Banlieue Nord,Marse,205000.0,47.0,4361.702127659574
Banlieue Nord,Marse,450000.0,150.0,3000.0
Banlieue Nord,Marse,417000.0,154.0,2707.792207792208
Banlieue Nord,Marse,750000.0,120.0,6250.0
Banlieue Nord,Marse,159000.0,70.0,2271.428571428572
Banlieue Nord,Marse,659000.0,240.0,2745.833333333333
Banlieue Nord,Marse,204000.0,77.0,2649.3506493506493
Banlieue Nord,Marse,405000.0,150.0,2700.0
Banlieue Nord,Marse,393000.0,145.0,2710.344827586207
Banlieue Nord,Marse,330000.0,145.0,2275.8620689655168
Banlieue Nord,Marse,500000.0,220.0,2272.7272727272725
Banlieue Nord,Marse,405000.0,150.0,2700.0
Banlieue Nord,Marse,396000.0,146.0,2712.328767123288
Banlieue Nord,Marse,530000.0,136.0,3897.058823529412
Banlieue Nord,Marse,280000.0,7.0,40000.0
Banlieue Nord,Marse,250000.0,150.0,1666.666666666667
Banlieue Nord,Marse,406000.0,150.0,2706.6666666666665
Banlieue Nord,Marse,215000.0,78.0,2756.4102564102564
Banlieue Nord,Marse,216000.0,78.0,2769.230769230769
Banlieue Nord,Marse,393000.0,145.0,2710.344827586207
Banlieue Nord,Marse,380000.0,90.0,4222.222222222223
Banlieue Nord,Marse,653000.0,238.0,2743.697478991597
Banlieue Nord,Marse,222000.0,81.0,2740.740740740741
Banlieue Nord,Marse,545000.0,109.0,5000.0
Banlieue Nord,Marse,450000.0,150.0,3000.0
Banlieue Nord,Marse,457800.0,120.0,3815.0
Banlieue Nord,Marse,450000.0,150.0,3000.0
Banlieue Nord,Marse,457800.0,120.0,3815.0
