Country,detail,Price,Size,Moy_prix_by_size
Ben arous,El mourouj,160000.0,95.0,1684.2105263157896
Ben arous,El mourouj,147.0,105.0,1.4
Ben arous,El mourouj,85000.0,80.0,1062.5
Ben arous,El mourouj,162000.0,98.0,1653.0612244897961
Ben arous,El mourouj,190000.0,113.0,1681.4159292035401
Ben arous,El mourouj,85000.0,90.0,944.4444444444445
Ben arous,El mourouj,252000.0,180.0,1400.0
Ben arous,El mourouj,252000.0,180.0,1400.0
Ben arous,El mourouj,175000.0,98.0,1785.7142857142858
Ben arous,El mourouj,152000.0,91.0,1670.3296703296703
Ben arous,El mourouj,105000.0,65.0,1615.3846153846155
Ben arous,El mourouj,256900.0,180.0,1427.2222222222224
Ben arous,El mourouj,272450.0,195.0,1397.179487179487
Ben arous,El mourouj,272450.0,195.0,1397.179487179487
Ben arous,El mourouj,256900.0,180.0,1427.2222222222224
