Country,detail,Price,Size,Moy_prix_by_size
Ben arous,Ezzahra,168000.0,130.0,1292.3076923076926
Ben arous,Ezzahra,185000.0,118.0,1567.7966101694915
Ben arous,Ezzahra,250000.0,158.0,1582.2784810126584
Ben arous,Ezzahra,160000.0,95.0,1684.2105263157896
Ben arous,Ezzahra,215000.0,100.0,2150.0
Ben arous,Ezzahra,260000.0,145.0,1793.103448275862
Ben arous,Ezzahra,205000.0,100.0,2050.0
Ben arous,Ezzahra,250000.0,158.0,1582.2784810126584
Ben arous,Ezzahra,160000.0,88.0,1818.1818181818185
Ben arous,Ezzahra,185000.0,103.0,1796.116504854369
