Country,detail,Price,Size,Moy_prix_by_size
Ben arous,El mourouj,550.0,200.0,2.75
Ben arous,El mourouj,600.0,160.0,3.75
Ben arous,El mourouj,10800.0,1300.0,8.307692307692307
Ben arous,El mourouj,650.0,100.0,6.5
Ben arous,El mourouj,16700.0,2000.0,8.35
Ben arous,El mourouj,350.0,83.0,4.216867469879518
Ben arous,El mourouj,580.0,105.0,5.523809523809524
Ben arous,El mourouj,470.0,110.0,4.2727272727272725
Ben arous,El mourouj,850.0,85.0,10.0
Ben arous,El mourouj,650.0,150.0,4.333333333333333
Ben arous,El mourouj,600.0,110.0,5.454545454545454
Ben arous,El mourouj,350.0,250.0,1.4
Ben arous,El mourouj,700.0,100.0,7.0
Ben arous,El mourouj,900.0,85.0,10.588235294117649
Ben arous,El mourouj,500.0,85.0,5.882352941176472
Ben arous,El mourouj,650.0,120.0,5.416666666666668
Ben arous,El mourouj,1200.0,80.0,15.0
Ben arous,El mourouj,460.0,150.0,3.066666666666667
Ben arous,El mourouj,600.0,140.0,4.285714285714286
Ben arous,El mourouj,650.0,150.0,4.333333333333333
Ben arous,El mourouj,550.0,100.0,5.5
Ben arous,El mourouj,400.0,60.0,6.666666666666668
Ben arous,El mourouj,700.0,130.0,5.384615384615384
Ben arous,El mourouj,360.0,60.0,6.0
Ben arous,El mourouj,470.0,150.0,3.1333333333333333
Ben arous,El mourouj,450.0,100.0,4.5
Ben arous,El mourouj,500.0,80.0,6.25
Ben arous,El mourouj,380.0,90.0,4.222222222222221
Ben arous,El mourouj,550.0,120.0,4.583333333333333
Ben arous,El mourouj,500.0,150.0,3.333333333333333
Ben arous,El mourouj,500.0,200.0,2.5
Ben arous,El mourouj,500.0,150.0,3.333333333333333
