Country,detail,Price,Size,Moy_prix_by_size
Ben arous,El mourouj,252000.0,180.0,1400.0
Ben arous,El mourouj,160000.0,129.0,1240.3100775193798
Ben arous,El mourouj,252000.0,180.0,1400.0
Ben arous,El mourouj,98000.0,90.0,1088.888888888889
Ben arous,El mourouj,180000.0,112.0,1607.142857142857
Ben arous,El mourouj,272450.0,195.0,1397.179487179487
Ben arous,El mourouj,160000.0,95.0,1684.2105263157896
Ben arous,El mourouj,272451.0,195.0,1397.1846153846154
Ben arous,El mourouj,120000.0,85.0,1411.764705882353
Ben arous,El mourouj,160000.0,110.0,1454.5454545454545
Ben arous,El mourouj,135000.0,100.0,1350.0
Ben arous,El mourouj,270000.0,400.0,675.0
Ben arous,El mourouj,150000.0,88.0,1704.5454545454545
Ben arous,El mourouj,256900.0,180.0,1427.2222222222224
Ben arous,El mourouj,190000.0,130.0,1461.5384615384617
Ben arous,El mourouj,120900.0,86.0,1405.813953488372
Ben arous,El mourouj,272450.0,195.0,1397.179487179487
Ben arous,El mourouj,95000.0,90.0,1055.5555555555557
Ben arous,El mourouj,272450.0,195.0,1397.179487179487
Ben arous,El mourouj,256900.0,180.0,1427.2222222222224
