Country,detail,Price,Size,Moy_prix_by_size
Ben arous,Ezzahra,250000.0,158.0,1582.2784810126584
Ben arous,Ezzahra,130000.0,80.0,1625.0
Ben arous,Ezzahra,133000.0,78.0,1705.1282051282049
Ben arous,Ezzahra,125000.0,95.0,1315.7894736842104
Ben arous,Ezzahra,250000.0,158.0,1582.2784810126584
Ben arous,Ezzahra,215000.0,99.0,2171.717171717172
Ben arous,Ezzahra,250000.0,158.0,1582.2784810126584
Ben arous,Ezzahra,250000.0,158.0,1582.2784810126584
Ben arous,Ezzahra,220000.0,146.0,1506.849315068493
Ben arous,Ezzahra,105000.0,64.0,1640.625
Ben arous,Ezzahra,215000.0,100.0,2150.0
Ben arous,Ezzahra,250000.0,160.0,1562.5
Ben arous,Ezzahra,215000.0,99.0,2171.717171717172
