Country,detail,Price,Size,Moy_prix_by_size
Les Berges du Lac,Lac2,350000.0,109.0,3211.0091743119265
Les Berges du Lac,Lac2,560000.0,140.0,4000.0
Les Berges du Lac,Lac2,650000.0,230.0,2826.086956521739
Les Berges du Lac,Lac2,470000.0,147.0,3197.278911564626
Les Berges du Lac,Lac2,555000.0,199.0,2788.9447236180904
Les Berges du Lac,Lac2,858800.0,226.0,3800.0
Les Berges du Lac,Lac2,950000.0,231.0,4112.554112554112
Les Berges du Lac,Lac2,450000.0,150.0,3000.0
Les Berges du Lac,Lac2,800000.0,220.0,3636.363636363637
Les Berges du Lac,Lac2,810000.0,148.0,5472.972972972973
Les Berges du Lac,Lac2,650000.0,215.0,3023.255813953489
Les Berges du Lac,Lac2,250000.0,69.0,3623.1884057971015
Les Berges du Lac,Lac2,630000.0,168.0,3750.0
Les Berges du Lac,Lac2,850000.0,223.0,3811.6591928251123
Les Berges du Lac,Lac2,450000.0,127.0,3543.307086614173
