Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address,detail
Les Berges du Lac,450000.0,152.0,Jumia TN,L-TN-00123222,2960.5263157894733,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,980000.0,230.0,Jumia TN,L-TN-00153540,4260.869565217391,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,3000.0,76.0,Jumia TN,L-TN-00125998,39.473684210526315,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,800000.0,272.0,Jumia TN,L-TN-00134307,2941.1764705882347,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,810000.0,148.0,Jumia TN,L-TN-00124230,5472.972972972973,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,590000.0,200.0,Jumia TN,L-TN-00115546,2950.0,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,495000.0,135.0,Jumia TN,L-TN-00113977,3666.666666666666,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,650000.0,200.0,Jumia TN,L-TN-00126525,3250.0,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,950000.0,400.0,Jumia TN,L-TN-00126534,2375.0,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,850000.0,197.0,Jumia TN,L-TN-00152482,4314.720812182741,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,326304.0,102.0,Jumia TN,L-TN-00113951,3199.058823529412,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,800000.0,223.0,Jumia TN,L-TN-00163367,3587.443946188341,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,250000.0,69.0,Jumia TN,L-TN-00108205,3623.1884057971015,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,470000.0,125.0,Jumia TN,L-TN-00113965,3760.0,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,350000.0,109.0,Jumia TN,L-TN-00145742,3211.0091743119265,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,1450000.0,362.0,Jumia TN,L-TN-00142204,4005.5248618784526,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,495000.0,168.0,Jumia TN,L-TN-00123132,2946.4285714285716,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,525000.0,118.0,Jumia TN,L-TN-00137938,4449.152542372882,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,950000.0,231.0,Jumia TN,L-TN-00112110,4112.554112554112,"Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,560000.0,163.0,Jumia TN,L-TN-00113949,3435.5828220858893,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,520000.0,168.0,Jumia TN,L-TN-00125996,3095.238095238096,"Les Berges du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,550000.0,190.0,Jumia TN,L-TN-00158298,2894.736842105264,"Les berges du Lac, Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
Les Berges du Lac,450000.0,127.0,Jumia TN,L-TN-00146166,3543.307086614173,"Les Berges Du Lac 2, Les Berges Du Lac 2, Les Berges Du Lac, Tunis et Banlieue Nord",Lac2
