Country,detail,Price,Size,Moy_prix_by_size
Sousse,Chatt Meriem,195000.0,90.0,2166.6666666666665
Sousse,Chatt Meriem,360000.0,156.0,2307.692307692308
Sousse,Chatt Meriem,130000.0,50.0,2600.0
Sousse,Chatt Meriem,160000.0,95.0,1684.2105263157896
Sousse,Chatt Meriem,340000.0,100.0,3400.0
Sousse,Chatt Meriem,195000.0,90.0,2166.6666666666665
Sousse,Chatt Meriem,360000.0,90.0,4000.0
Sousse,Chatt Meriem,800000.0,150.0,5333.333333333333
Sousse,Chatt Meriem,180000.0,120.0,1500.0
Sousse,Chatt Meriem,250000.0,80.0,3125.0
Sousse,Chatt Meriem,650000.0,153.0,4248.366013071895
Sousse,Chatt Meriem,200000.0,90.0,2222.222222222222
Sousse,Chatt Meriem,140000.0,70.0,2000.0
Sousse,Chatt Meriem,180000.0,120.0,1500.0
Sousse,Chatt Meriem,250000.0,100.0,2500.0
