Country,detail,Price,Size,Moy_prix_by_size
Sousse,Chatt Meriem,800000.0,150.0,5333.333333333333
Sousse,Chatt Meriem,225000.0,108.0,2083.333333333333
Sousse,Chatt Meriem,250000.0,180.0,1388.888888888889
Sousse,Chatt Meriem,105000.0,24.0,4375.0
Sousse,Chatt Meriem,310000.0,123.0,2520.325203252033
Sousse,Chatt Meriem,170000.0,70.0,2428.5714285714284
Sousse,Chatt Meriem,125000.0,50.0,2500.0
Sousse,Chatt Meriem,146000.0,42.0,3476.190476190476
Sousse,Chatt Meriem,330000.0,100.0,3300.0
Sousse,Chatt Meriem,400000.0,118.0,3389.8305084745757
Sousse,Chatt Meriem,195000.0,90.0,2166.6666666666665
Sousse,Chatt Meriem,175000.0,90.0,1944.4444444444446
Sousse,Chatt Meriem,175000.0,90.0,1944.4444444444446
Sousse,Chatt Meriem,320000.0,100.0,3200.0
Sousse,Chatt Meriem,360000.0,90.0,4000.0
Sousse,Chatt Meriem,250000.0,170.0,1470.5882352941173
Sousse,Chatt Meriem,330000.0,100.0,3300.0
Sousse,Chatt Meriem,180000.0,120.0,1500.0
Sousse,Chatt Meriem,380000.0,162.0,2345.679012345679
Sousse,Chatt Meriem,360000.0,90.0,4000.0
Sousse,Chatt Meriem,160000.0,95.0,1684.2105263157896
Sousse,Chatt Meriem,450000.0,134.0,3358.2089552238813
Sousse,Chatt Meriem,360000.0,90.0,4000.0
