Country,Price,Size,Marketplace,Reference,Moy_prix_by_size,Address
Ariana,165.0,100.0,Tunisie-annonce TN,2831585,1.65,"Tunisie,Ariana,Ariana Ville,El Menzah 6"
Ariana,950.0,140.0,Tunisie-annonce TN,2815556,6.785714285714286,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Tunis,140.0,80.0,Tunisie-annonce TN,2777893,1.75,"Tunisie,Tunis,El Omrane Superieur,El Omrane Superieur"
Ariana,500.0,110.0,Tunisie-annonce TN,2831583,4.545454545454546,"Tunisie,Ariana,La Soukra,Chotrana 3"
Ariana,10000.0,700.0,Tunisie-annonce TN,2791959,14.285714285714286,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah"
Sfax,1500.0,4600.0,Tunisie-annonce TN,2782757,0.32608695652173914,"Tunisie,Sfax,Sfax Sud,El Khazzanette"
Ariana,380.0,50.0,Tunisie-annonce TN,2820177,7.6,"Tunisie,Ariana,La Soukra,La Soukra"
Bizerte,650.0,100.0,Tunisie-annonce TN,2791201,6.5,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Bizerte,700.0,50.0,Tunisie-annonce TN,2825412,14.0,"Tunisie,Bizerte,Bizerte Nord,Bizerte"
Bardo,660.0,125.0,Tunisie-annonce TN,2828154,5.28,"Tunisie,Tunis,Le Bardo,Khaznadar"
Ben arous,450.0,150.0,Tunisie-annonce TN,2823277,3.0,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Mannouba,600.0,350.0,Tunisie-annonce TN,2831524,1.7142857142857142,"Tunisie,Manouba,Mannouba,La Mannouba"
Ben arous,500.0,100.0,Tunisie-annonce TN,2817196,5.0,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel"
Sfax,290.0,45.0,Tunisie-annonce TN,2784642,6.444444444444445,"Tunisie,Sfax,Sakiet Ezzit,Sakiet Ezzit"
Ariana,350.0,80.0,Tunisie-annonce TN,2599415,4.375,"Tunisie,Ariana,La Soukra,Borj Louzir"
Ariana,100.0,85.0,Tunisie-annonce TN,2496712,1.1764705882352942,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2"
Ariana,99.0,90.0,Tunisie-annonce TN,2493417,1.1,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 1"
Ben arous,550.0,200.0,Tunisie-annonce TN,2831501,2.75,"Tunisie,Ben arous,El Mourouj,Cite El Mourouj 3 Bis"
Ariana,900.0,110.0,Tunisie-annonce TN,2774915,8.181818181818182,"Tunisie,Ariana,La Soukra,Dar Fadhal"
Ariana,280.0,12.0,Tunisie-annonce TN,2770893,23.333333333333332,"Tunisie,Ariana,Ariana Ville,Ariana"
Ben arous,410.0,80.0,Tunisie-annonce TN,2826444,5.125,"Tunisie,Ben arous,Bou Mhel El Bassatine,Cite Bou Mhel"
Ariana,480.0,90.0,Tunisie-annonce TN,2831499,5.333333333333333,"Tunisie,Ariana,La Soukra,Borj Louzir"
