Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T12:57:41,Jumia TN,L-TN-00122569,A vendre,Appartements,Un Magnifique Appartement Meublé À Vendre À Sousse Ville,"Sousse Medina, Sousse, Sousse",75,m²,2.0,1.0,170000.0,"A vendre un magnifique appartement de 75 m² très haut standing richement meublé à Sousse Ville à côté du port dans une résidence sécurisée au 2 éme étage composé de : 2 chambres à coucher, salon, cuisine, salle de bain avec jacuzzi  Cet appartement est équipé du chauffage central et de la climatisation. Prix : 170 000 DT",https://house.jumia.com.tn/un-magnifique-appartement-meuble-a-vendre-a-sousse-ville-122569-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:36,Jumia TN,L-TN-00137257,A vendre,Appartements,A Vendre Des Appartements Aux Jardins De Carthage,"jardins de carthage, Les Jardins de Carthage, Tunis et Banlieue Nord",119,m²,2.0,1.0,3000.0,"Agence Darcom Tunisia met à la vente des appartements situés dans une résidence en cours de construction situés au cœur de la banlieue Nord aux Jardins de Carthage, l’ensemble résidentiel est proche de la côte balnéaire La Goulette-La Marsa et des Berges du Lac.  La résidence est implantée dans un endroit qui vous permet de savourer la joie de vivre, le bien être et le confort maximal vu sa proximité des commodités : Carrefour, Ecole Internationale de Carthage, jardin public.  Elle vous offre une vue panoramique imprenable sur  les côtes de la Banlieue Nord, des espaces verts.  Une résidence de R+8, gardée, 2 blocs, équipée par sous sol (parking et cellier), double ascenseur par bloc.  Prix : 3000 DT/ m² TTC Isolation phonique et thermique  Sol marbre blanc 1er choix  chauffage central avec thermostat d’ambiance  climatisation par multi Split  faux plafond en staff prix parking: 20 MD",https://house.jumia.com.tn/a-vendre-des-appartements-aux-jardins-de-carthage-137257-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:35,Jumia TN,L-TN-00144328,A vendre,Appartements,Appartement S+3 Aux Jardins De Carthage,"jardins de carthage, Les Jardins de Carthage, Tunis et Banlieue Nord",171,m²,3.0,3.0,520000.0,"A Vendre un Appartement S+3, situé dans une petite résidence aux Jardins de Carthage. Superficie: 171 m²+ 7 m² balcon Composé de : salon avec Balcon -Une cuisine équipée, complétée par un Balcon -Salle d’eau pour invitées -Deux chambres à coucher dont une dressing -Une suite parents, avec sa propre salle d’eau avec douche a l’italienne -Les trois chambres se partagent une salle de bain 2 places de parking et 1 cellier Equipements: – Chauffage central -climatisation en Split système",https://house.jumia.com.tn/appartement-s3-aux-jardins-de-carthage-144328-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:33,Jumia TN,L-TN-00158472,A vendre,Appartements,Appartement A Gammarth Village,"Gammarth, Gammarth, Tunis et Banlieue Nord",110,m²,2.0,2.0,280000.0,"A Vendre, un très bel appartement s+2 jamais habité dans une prestigieuse résidence à Gammarth Village divisé en deux compartiments : Compartiment jour composé d’un salon avec balcon, une cuisine avec séchoir équipée de four, micro-ondes, hotte..  Compartiment nuit : Le couloir nous mène vers la deuxième partie de l’appartement ou l’on trouve deux chambres dont une suite avec salle de douche, une chambres et une salle de bain. L’appartement se situe au 1èr étage de la résidence, avec ascenseur et dispose d’une place parking privative au sous sol.  climatisation centrale chauffage central Résidence sécurisée: système d'alarme et caméra de surveillance",https://house.jumia.com.tn/appartement-a-gammarth-village-158472-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:30,Jumia TN,L-TN-00170421,A vendre,Appartements,A Vendre Bel Appartement S+1 A Ain Zaghouan,"RUE KHALED IBEN EL WALID AIN ZAGHOUAN, AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",73,m²,1.0,1.0,170000.0,"A Vendre un bel appartement S+1à Ain zaghouan  Résidence NAJAR I est une résidence, sécurisée de haut standing, bénéficiant d'un emplacement stratégique en face de la pharmacie de nuit au cœur de Ain Zaghouan et à10 min de Carrefour et de Clinique Soukra,des appartements de luxe et les prix négociables.",https://house.jumia.com.tn/a-vendre-bel-appartement-s1-a-ain-zaghouan-170421-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:27,Jumia TN,L-TN-00154104,A vendre,Appartements,A Vendre Un Appartement S+2 De 94M2 Aux Jardins De Carthage,"Les Jardins de Carthage, Les Jardins de Carthage, Tunis et Banlieue Nord",94,m²,2.0,1.0,343565.0,"L'agence Immobilière House Express vous présente un projet dans le quartier huppé de la banlieue Nord de Tunis. Des typologies différentes et divers superficies s'offrent à vous chers clients.   La Résidence Ambre s'affirme par son architecture élégante mariant harmonieusement matériaux nobles et lignes modernes. Ces lignes très graphiques et avant gardiste sont en accord avec l'esprit novateur du quartier.  Venez rendre visite à notre appartement Témoin afin de découvrir la finition, les différentes techniques adopté dans la construction de votre nouvelle demeure.    Les prix, les superficies et les plans sont disponibles en agence.",https://house.jumia.com.tn/a-vendre-un-appartement-s2-de-94m2-aux-jardins-de-carthage-154104-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:25,Jumia TN,L-TN-00127646,A vendre,Appartements,Coup De Coeur A Vendre  Un Joli Appartement  Avec Belle Vue Mer,"résidence chat kantaoui, El Kantaoui, Hammam Sousse, Sousse",105,m²,1.0,1.0,330000.0,"L'agence immobilière elkantaoui met en vente un appartement de standing à kantaoui dans une zone résidentielle calme et prés de tous les commodités et les centres commerciaux sis au 4 eme étage d'une résidence pieds dans l'eau avec ascenseur gardée 24/24, l'appartement est d'une superficie 105 m² composé d'un salon , 1 chambre à coucher avec dressing ,cuisine équipée salle de bain et un terrasse bien ensoleillé de qui donne vue sur mer, l'appartement muni par chauffage central et climatisation et 1 place parking sous sol caractéristique de l'appartement: revêtement et matériaux de construction noble, menuiserie en aluminium avec volet roulant pour plus de détails merci de nous contacter Agence Immobilière el kantaoui.",https://house.jumia.com.tn/coup-de-coeur-a-vendre-un-joli-appartement-avec-belle-vue-mer-127646-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:21,Jumia TN,L-TN-00134963,A vendre,Appartements,Appartement S+3 À Sahloul,"Rue Hassen Ben Said 4051 khezema ouest sousse prés de librairie SIAB, Sahloul, Sousse",155,m²,3.0,2.0,280000.0,"Choisir un logement directe promoteur est un pari gagnant pour tout futur propriétaire. le neuf est tout aussi attirant en raison de ses nombreux avantages comme le confort et les faibles charges. L’immobilier neuf prend de la valeur à long terme. De plus, il n’a pas besoin de travaux de rénovation pour améliorer les performances énergétiques qui répondent aux nouvelles exigences. Une plus-value est ainsi à envisager et la revente est facilitée. Pour bénéficier par ces avantages venez découvrez cette résidence au cœur de la nouvelle cité résidentielle de sahloul 4 . elle vous offre un ensemble harmonieux de différents types d'appartements allant du (S+2 )au( S+3 )qui répondent à toutes vos exigences avec une finition soignée.et une combinaison de qualité des matériaux nobles,ainsi une architecture original moderne, faisant la part belle à des balcons aériens et de grandes terrasses pour quelques heureux privilégiés. Laissez -vous séduire par ce coup de coeur et découvrez cet appartement témoin (s+3) de 155 m² . l'entrée de cet appartement donne sur un grand salon tapissé aux revêtements nobles et lumineux grâce à ses larges baies vitrées qui ouvre sur un balcon. une cuisine agencée est équipée d'une plaque, une hotte aspirante et un four et complété par un séchoir . une salle d'eau pour les invitées complète la partie jour Un couloir munie d'un dressing donne plus de fonctionnalité nous mène à la partie nuit qui loge trois chambres à coucher partagent une salle de bain commune ,  une place de parking est disponible au sous sol NB: PV de récolement est disponible ,Frais d'enregistrement 1% (directe promoteur) standing et équipement : ,porte intérieur et extérieur en bois noble ,revêtement en marbre (sol salon et chambres ) menuiserie aluminium , volets roulants électriques , chauffage central ,climatisation en split système, dressing ,chasse encastrable et cuvette suspendu , interphone digicode ,isolation phonique et thermique",https://house.jumia.com.tn/appartement-s3-a-sahloul-134963-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:18,Jumia TN,L-TN-00158127,A vendre,Appartements,Bel Appartement S+2 À Vendre,"La Soukra, La Soukra, Ariana",109,m²,2.0,1.0,185000.0,Cet appartement se compose d’un grand salon et 2 chambres à coucher avec les dressings  Cuisine bien équipé avec séchoir / salle d’eau / salle de bain / Chauffage centrale / 3 climatiseurs / parking sou- sol,https://house.jumia.com.tn/bel-appartement-s2-a-vendre-158127-29.html?page=1&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
2018-09-03T12:57:15,Jumia TN,L-TN-00172165,A vendre,Appartements,A Vendre Un Terrain De 1000 M² À Ain Zaghouan Sud,"AIN Zagouan, AIN Zaghouan, Tunis et Banlieue Nord",1,m²,1.0,,1300.0,Yosra immobilière met en vente un terrain de 1000 m² avec permission de bâtir R+3 à Ain Zaghouan Sud proche de toute commodité et prés de GP 9.,https://house.jumia.com.tn/a-vendre-un-terrain-de-1000-m-a-ain-zaghouan-sud-172165-29.html?page=4&size=30&category=22&attribute_option=offer_type%3Abuy&dir=desc
