,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
192,417,2018-07-16T13:43:50,fff7ea8a-4cd2-43ec-a2c3-404a8f1d3ee8,Appartement,Appartement A Louer,"Mahdia, Autres villes",Appartements,m²,1.0,,0.0,Une belle appartement a diar el baher mahdia s+1 54419155 28570758,https://www.tayara.tn/listings/appartements-2/fff7ea8a-4cd2-43ec-a2c3-404a8f1d3ee8/appartement-a-louer-
196,425,2018-07-16T13:43:35,ff075232-233f-424e-9641-67057c2120d2,Appartement,Un Joli Appartement S+3 A Louer A Rades Foret,"Ben arous, Radès",Appartements,m²,4.0,,600.0,"appartement a louer a rades foret situé au 1ére étage dans une résidence gardé jour et nuit composé d'un grand salon , trois chambres a coucher , salle de bain , cuisine bien équipée , gaz de ville...trés bonne emplacement prés de toutes les commodités pour plus d'information contacter: 24234215 / 98346155",https://www.tayara.tn/listings/appartements-2/ff075232-233f-424e-9641-67057c2120d2/un-joli-appartement-s+3-a-louer-a-rades-foret-
199,429,2018-07-16T13:43:26,fef71d7a-d12f-4c85-bc30-e83cc3cff7ec,Appartement,Étage De Villa Spacieux À Sahloul,"Sousse, Sahloul",Appartements,m²,4.0,,650.0,"étage de villa bon standing à sahloul 1 sahloul 1 près l'hopital 160 m² à louer un étage de villa spacieux au 2éme étage d'une villa un S+4 situé dans un quartier calme et près de toutes commodités se compose de : *salon spacieux *4 chambres à coucher *cuisine aménagée *salle de bain + 2ème Toilettes indépendantes * terrasse très Spacieuse équipement : chauffage central gaz de ville loyer : 650dt/Mois Pour Vos Réservations et/ou plus d'informations, n'hésitez pas à nous Contacter",https://www.tayara.tn/listings/appartements-2/fef71d7a-d12f-4c85-bc30-e83cc3cff7ec/étage-de-villa-spacieux-à-sahloul-
201,432,2018-07-16T13:43:19,fef42912-565b-4615-8cd3-4c47dbf035c5,Appartement,S+1 À Louer Situé À El Menzah 9,"Tunis, Menzah",Appartements,m²,2.0,,740.0,S+1 à louer situé à El Menzah 9 à coté de centre MAKNI Prix mensuel: 750 dinars/mois quartier calme et bon voisinage,https://www.tayara.tn/listings/appartements-2/fef42912-565b-4615-8cd3-4c47dbf035c5/s+1-à-louer-situé-à-el-menzah-9
207,444,2018-07-16T13:42:54,feea052d-dc53-4e54-ad20-f19627caa376,Appartement,Appartement Amen L1962,"Nabeul, Hammamet Nord",Appartements,m²,2.0,,7200.0,"APPARTEMENT AMEN L1962 A louer pour les vacances chez l'agence TPS Immobilière Hammamet, un coquet appartement de type S+3 au 1er étage situé à Hammamet Nord zone Omar Khayem. L'appartement se compose d'un grand salon avec un balcon, une salle d'eau invités, une cuisine équipée avec séchoir, 3 chambres à coucher, une salle de bain. L?appartement est équipé de chauffage central et de climatiseurs. Nos agents sont à votre disposition pour toutes informations et conseils nécessaires afin de disposer du bien. Veuillez contacter Mme SIRINE sur ces numéros : 52080909, 52631000",https://www.tayara.tn/listings/appartements-2/feea052d-dc53-4e54-ad20-f19627caa376/appartement-amen-l1962
209,447,2018-07-16T13:42:47,fee30e70-09ad-45b1-b789-91de99d8d8b1,Appartement,Apparemment A Louer Par Nuit,"Ariana, Autres villes",Appartements,m²,1.0,,70.0,"une belle apparemment a louer par nuit meublé avec place parking, terrasse et une cuisine bien équipée, climatiseur 58 617 167",https://www.tayara.tn/listings/appartements-2/fee30e70-09ad-45b1-b789-91de99d8d8b1/apparemment-a-louer-par-nuit
213,453,2018-07-16T13:42:39,ffd1a56a-a1ec-4034-a971-994d53bbd0ce,Appartement,Appartement A Louer S+1,"Sousse, Akouda",Appartements,m²,1.0,,1500.0,appartement a louer S+1 : dans folla 1500d par semaine,https://www.tayara.tn/listings/appartements-2/ffd1a56a-a1ec-4034-a971-994d53bbd0ce/appartement-a-louer-s+1
217,463,2018-07-16T13:42:18,ff539ae2-86db-4a13-8400-2de3dc340cbe,Appartement,Appartement À Louer,"La manouba, Autres villes",Appartements,m²,3.0,,400.0,s+2 manouba sprols,https://www.tayara.tn/listings/appartements-2/ff539ae2-86db-4a13-8400-2de3dc340cbe/appartement-à-louer
218,465,2018-07-16T13:42:13,ff4b7cef-ab72-4152-be83-979def35e5cc,Appartement,Appartement Meublé Courte Durée Lac 2,"Ariana, Chotrana",Appartements,m²,2.0,,120.0,En face de TUNISIA MALL LAC 2 Prix: 120 dt WIFI GRATUIT PLACE DE PARKING PRIVEE AU SOUS SOL Nous disposons aussi des S2 et S3 dans le même carré Tél : 25685761,https://www.tayara.tn/listings/appartements-2/ff4b7cef-ab72-4152-be83-979def35e5cc/appartement-meublé-courte-durée-lac-2
221,469,2018-07-16T13:42:07,fec050ee-d521-4217-9047-e47f723c1c76,Appartement,Étage De Villa Luxe Avec 2Parking Sous Sol,"Sousse, Sahloul",Appartements,m²,3.0,,800.0,a louer uniquement pour famille un luxieux étage de villa pour visites et plus d'informations contactez nous au 29 100 133 ( nous avons autres choix avec de différents prix et différentes zones ),https://www.tayara.tn/listings/appartements-2/fec050ee-d521-4217-9047-e47f723c1c76/étage-de-villa-luxe-avec-2parking-sous-sol
226,477,2018-07-16T13:41:51,feaa3b87-9e7c-43a5-a34b-b50422473b41???-??????-???????-98488022,Appartement,??? ?????? ??????? 98488022,"Ariana, Ariana Ville",Appartements,m²,1.0,,430.0,??? ????? s+1 ??? ??? ??????? ????? ???????,https://www.tayara.tn/listings/appartements-2/feaa3b87-9e7c-43a5-a34b-b50422473b41/???-??????-???????-98488022
228,480,2018-07-16T13:41:43,feaa2372-9115-4754-80d5-622e74baa927,Appartement,Location Vacances,"Jendouba, Tabarka",Appartements,m²,2.0,,0.0,"appartement bien bien meublé climatisé 100% propre ,place voiture sécurise ,pour couple ou 6 à 7 personnes 00216 99899740",https://www.tayara.tn/listings/appartements-2/feaa2372-9115-4754-80d5-622e74baa927/location-vacances-
239,503,2018-07-16T13:40:45,fe70729e-8a5a-4f7c-953b-5a292bc74d7e,Appartement,Appartement Mourouj 5,"Tunis, Autres villes",Appartements,m²,2.0,,300.0,"Agence immobilière zitounimmob met à votre disposition un appartement composé d'une chambre à coucher et salon,cuisine équipée,s.b,séchoir, Prix: 300dt Télé:54885176 Frais de visite 20dt et payement de 5% du prix annuel de location",https://www.tayara.tn/listings/appartements-2/fe70729e-8a5a-4f7c-953b-5a292bc74d7e/appartement-mourouj-5-
