Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T15:11:08,Tayara TN,ff08d382-3c91-492c-82d0-707286502596,À Louer,Appartements,Maison Pour Les Etudiants,"Monastir, Monastir",Appartements,m²,2.0,,370.0,"location de deux s+2 nouvellement batis situés à cité elbassatine , pres de kiosque Oilibya et Restaurant Universitaire Les roses. 10 min a pied a faculté de médecine dentaire et Pharmacie avec surface couvert de 75m², le s+2 contient: salon avec tv , deux chambre à coucher, cuisine, toilette et douche, grand terrasse. appellez le 22871543 ou 20541408",https://www.tayara.tn/listings/appartements-2/ff08d382-3c91-492c-82d0-707286502596/maison-pour-les-etudiants
2018-09-03T15:10:43,Tayara TN,fec86837-b48f-40c5-bbcc-bc55459ddc96,À Louer,Appartements,Appt S2 Hts - Jardins De Carthage,"Tunis, Carthage",Appartements,m²,3.0,,1200.0,"FB.7256 Contacter notre Conseiller en immobilier RANA : 56306047 Type : Appartement S+2 Adresse : Jardins de Carthage Loyer : 1200 dt Superficie : 145 m² A louer un appartement S+2 hauts standings dans une résidence R+4 très calme et bien sécurisée. Il est composé d’un salon lumineux avec balcon, une cuisine bien équipée d'une plaque, hotte aspirante, four avec les accessoires et les éléments de rangements avec un séchoir. La partie nuit dessert deux chambre à coucher avec leurs propres dressing et une salle de bain. L’appartement est équipé d’un chauffage central et climatiseurs. Agence Immobilière ARI.",https://www.tayara.tn/listings/appartements-2/fec86837-b48f-40c5-bbcc-bc55459ddc96/appt-s2-hts-jardins-de-carthage
2018-09-03T15:10:38,Tayara TN,fb928460-f58a-4132-8b2a-82829cfcc7c1,À Louer,Appartements,Appartement Côté Carrefour,"Ben arous, Boumhel",Appartements,m²,2.0,,800.0,"A louer un appartement situé dans une résidence nouvellement construite, dans un quartier animé à Boumhel coté carrefour, il est composé d'un salon lumineux grâce a ses baies-vitrées, une cuisine équipée complétée par un séchoir, deux chambres a coucher partageant une salle de bain.",https://www.tayara.tn/listings/appartements-2/fb928460-f58a-4132-8b2a-82829cfcc7c1/appartement-côté-carrefour
2018-09-03T15:10:33,Tayara TN,febd4fea-499a-4b9e-9288-95e21dc991a1,À Louer,Appartements,Étage De Villa S+2 Sans Meuble À Sahloul,"Sousse, Sahloul",Appartements,m²,2.0,,500.0,"nous mettons en location un étage de villa sans meuble composé d'un grand salon, 2 chambres à couchers, salle de bain, cuisine équipé, des placards, chauffage central, un balcon, des stores électriques. pour plus d'infos contacter : 22497177 / 95212779",https://www.tayara.tn/listings/appartements-2/febd4fea-499a-4b9e-9288-95e21dc991a1/étage-de-villa-s+2-sans-meuble-à-sahloul
2018-09-03T15:10:26,Tayara TN,feb1efcd-502b-4849-ada0-f8c4d57b0ebb,À Louer,Appartements,Appartements À Louer,"Nabeul, Dar Châabane El Fehri",Appartements,m²,3.0,,0.0,5 appartements à louer 2 appartements s+1 2 apartements s+2 1 appartement s+3 (vue sur mer) meublés ou sans meubles situé à rue ezzoukhrof dar chaabane el fehri nabeul( tri9 hotel lido) numero: 98665448,https://www.tayara.tn/listings/appartements-2/feb1efcd-502b-4849-ada0-f8c4d57b0ebb/appartements-à-louer
2018-09-03T15:10:26,Tayara TN,ff8cad51-99d7-4ac3-929f-38146b951b64,À Louer,Appartements,A Louer Appartement S+1,"Monastir, Monastir",Appartements,m²,1.0,,325.0,Meublé - climatisé Près de faculté de science et ENIM Devant foyer El mezri,https://www.tayara.tn/listings/appartements-2/ff8cad51-99d7-4ac3-929f-38146b951b64/a-louer-appartement-s+1
2018-09-03T15:10:24,Tayara TN,fb404518-db09-4160-93b3-c0c67be17fc5,À Louer,Appartements,Appart Meublé S2 Lac Tunis,"Tunis, La Marsa",Appartements,m²,2.0,,2400.0,"Appartement de luxe ,richement meublé se situe dans une résidence contemporaine et bien gardée . ce logement dispose d'un salon , deux chambres chambre coucher munies d'une multitude d'espaces de rangements, sdb, et une cuisine équipée . pour plus d'infos contacter 52151445",https://www.tayara.tn/listings/appartements-2/fb404518-db09-4160-93b3-c0c67be17fc5/appart-meublé-s2-lac-tunis
2018-09-03T15:10:21,Tayara TN,fd86779f-40ef-422b-85d3-451dd3fce922,À Louer,Appartements,Étage De Villa Haut Standing Avec Abri De Voitures,"Sousse, Sousse Jawhara",Appartements,m²,3.0,,1200.0,"Un Deuxième étage de villa à Khezama de standing et avec abri pour deux voitures pour location qui se compose Coté jour un spacieux salon ouvrant sur un balcon, une cuisine aménagée avec des éléments de rangement et équipée avec une hotte aspirante ; une cuisinière et une salle d’eau avec douche Un couloir qui mène au coté nuit Une suite parentale avec dressing encastré et une salle d’eau Deux chambres à coucher chacune avec un dressing et qui se partagent une salle de bain Chauffage central Climatiseurs Prix de location 1200Tnd/mois Contact Info :73 278 103/98 763241 Adresse Agence : Rue Maghreb Arabe à coté Carrefour Market à Khezama 4071 Sousse",https://www.tayara.tn/listings/appartements-2/fd86779f-40ef-422b-85d3-451dd3fce922/étage-de-villa-haut-standing-avec-abri-de-voitures
2018-09-03T15:10:20,Tayara TN,fea75883-e6bc-4e49-917c-1136a36374ac???-??????-????-?????-???-?????,À Louer,Appartements,??? ?????? ???? ????? ??? ?????,"Sousse, Autres villes",Appartements,m²,3.0,,370.0,??? ?????? ???? ???? ???? ?? ??????? ????? ??? ????? ????? ?? ?????? ????? ????? ????? ? ???,https://www.tayara.tn/listings/appartements-2/fea75883-e6bc-4e49-917c-1136a36374ac/???-??????-????-?????-???-?????
2018-09-03T15:10:18,Tayara TN,fb3eb0b7-a80c-4413-a9b6-d8a51783b9f5,À Louer,Appartements,Appartement Richement Meublé Chat Mariem,"Sousse, Autres villes",Appartements,m²,1.0,,75.0,appartement richement meublé chat mariem dans une résidence calme pour plus d'informations merci de nous contacter sur 96445757,https://www.tayara.tn/listings/appartements-2/fb3eb0b7-a80c-4413-a9b6-d8a51783b9f5/appartement-richement-meublé-chat-mariem
2018-09-03T15:10:10,Tayara TN,fd4598aa-580b-46f6-ae7c-dd8c85a48013,À Louer,Appartements,App T H Standing À Sokra,"Tunis, Sidi El Béchir",Appartements,m²,2.0,,800.0,a louer app très haut standing 2p à sokra près de monoprix zen home et des fac priv : 2 pièces non meubles avec dressing et chaufâge central clim sb et cuisine equipee et place parking sous sol (sinding payé sous charge du propr) tél 97829512,https://www.tayara.tn/listings/appartements-2/fd4598aa-580b-46f6-ae7c-dd8c85a48013/app-t-h-standing-à-sokra
