,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
223,415,2018-07-16T13:43:52,ff3f9955-7217-4585-8ed4-a217a5659c47,Appartement,Un Appartement Proche De Sindbad 110Md Oo,"Nabeul, Hammamet",Appartements,m²,1.0,,110000.0,A hamametcentre villehamamet un appartement au RDC se compose d?un sallon une chambre a coucher avec salle d?eau et cuisine pas loin de la plage Superficie ; 70m² Prix : 110MD Pour plus d?information merci de nous contacter :95041677,https://www.tayara.tn/listings/appartements-2/ff3f9955-7217-4585-8ed4-a217a5659c47/un-appartement-proche-de-sindbad-110md-oo
225,420,2018-07-16T13:43:43,ff0cbd70-df8b-4639-bc5b-c3e9831d2502,Appartement,Les Jardins De Carthage Beau S+3 Jamais Habite Standing Avec Parking,"Tunis, Carthage",Appartements,m²,3.0,,412000.0,meme prix de vente achete sur plan en 2016 livre en 12/2017 neuf jamais habite aux jardin de carthage nouvelle résidence garder et sécurisé 24/24 achete sur plan en 2016 livree en 12/2017 jamais habite un très bon prix et place parking au sous sol compris meme prix acahete sur plan prix du m 2550 dinars dans une nouvelle résidence livrée en novembre 2017 particulier vent son appartement neuf non habite position 5 eme étage s+3 surface : 154 m avec une place parking au sous sol compose de grand salon avec balcon cuisine équipé agence plaque - hotte four avec sechoir chambres a coucher vue dégagé vue sur la nouvelle mosquée suite parent avec salle de bain 2 chambres enfants avec grand dressing salle de bain commune très haut standing climatisation chauffage centrale marbre porte et boiserie importé de 1er choix en bois chaine double vitrage store volet électrique cuisine agencé équipé avec séchoir revêtement sol en marbre italien de 1 er choix grés a la masse de 1 er choix sdb et sde cuisine et séchoir aménagement contemporain pour les salles de bains et les cuisines menuiserie aluminium en double vitrage et store roulant m,https://www.tayara.tn/listings/appartements-2/ff0cbd70-df8b-4639-bc5b-c3e9831d2502/les-jardins-de-carthage-beau-s+3-jamais-habite-standing-avec-parking-
245,462,2018-07-16T13:42:20,fedfeed1-b588-4c7c-8e34-fab056b8f508,Appartement,S+1 De 64M² À Nabeul,"Nabeul, Nabeul",Appartements,m²,1.0,,130000.0,"Cet appartement se situe dans une résidence front de mer avec piscine. L'entrée donne sur un salon revêtu en marbre thala, lumineux grâce à sa baie vitrée. Il donne sur une terrasse. Une kitchenette est équipée d'une plaque, d'une hotte et d'un four. La partie nuit loge une chambre à coucher avec dressing. Une salle de douche est disponible. Un abri est aussi à disposition. » Équipements Climatisation par split système Dressing Climatisation centrale Piscine Terrasse Abris voiture",https://www.tayara.tn/listings/appartements-2/fedfeed1-b588-4c7c-8e34-fab056b8f508/s+1-de-64m²-à-nabeul
246,464,2018-07-16T13:42:14,fedd5270-1930-4828-ad1c-6eaac51c8922,Appartement,A Vendre Un Appartement À A Mrezga,"Nabeul, Hammamet",Appartements,m²,2.0,,135000.0,"bonne affaire a ne pas rater un appartement situé a Mrezga avec un Bon Emplacement proche de toutes les commodités qui se compose d'un Salon , deux chambre a coucher , une cuisine avec une salle d'eau Surface totale : 70 m² Prix demander : 135 MD Pour plus d'informations merci de nous contacter 95041677",https://www.tayara.tn/listings/appartements-2/fedd5270-1930-4828-ad1c-6eaac51c8922/a-vendre-un-appartement-à-a-mrezga-
248,471,2018-07-16T13:42:04,ff3f9955-7217-4585-8ed4-a217a5659c47,Appartement,Un Appartement Proche De Sindbad 110Md Oo,"Nabeul, Hammamet",Appartements,m²,1.0,,110000.0,A hamametcentre villehamamet un appartement au RDC se compose d?un sallon une chambre a coucher avec salle d?eau et cuisine pas loin de la plage Superficie ; 70m² Prix : 110MD Pour plus d?information merci de nous contacter :95041677,https://www.tayara.tn/listings/appartements-2/ff3f9955-7217-4585-8ed4-a217a5659c47/un-appartement-proche-de-sindbad-110md-oo
250,474,2018-07-16T13:41:59,feaf24f5-3132-4853-9f28-24c921a7b401,Appartement,Appartement À Vendre,"Kairouan, Kairouan Sud",Appartements,m²,3.0,,35000.0,"Appartement s+2 située route Tarik haffouze Kairouan ville ,emplacement stratégique. pour d'autres informations contacter nous 98375723 ou 28475886",https://www.tayara.tn/listings/appartements-2/feaf24f5-3132-4853-9f28-24c921a7b401/appartement-à-vendre
266,509,2018-07-16T13:40:31,fe3b9f3f-2a40-4773-8915-df04291d47f0,Appartement,Appartement Marbre Blanc,"Sousse, Sousse",Appartements,m²,1.0,,130.0,s plus 1 tej soltane 50 metres rez de jardin sureleve haut standing-4 radiateurs et 2 climatiseurs avec terrasse 50932922 DE 14 A 19 H visite sur rv 130md fixe,https://www.tayara.tn/listings/appartements-2/fe3b9f3f-2a40-4773-8915-df04291d47f0/appartement-marbre-blanc
327,629,2018-07-16T13:35:40,fd4ae539-e034-4773-8321-085fc1dcb532,Appartement,Magnifique Appartement,"Nabeul, Hammamet",Appartements,m²,2.0,,291500.0,"Bonne Occasion à ne pas rater Agence Casa imed Hammamet met en vente un Appartement en 6éme étage dans une résidence gardée avec piscine et une belle vue sur mer à AFH de Hammamet Nord Notre appartement se compose d?un salon, 2 chambres à coucher, cuisine bien équipée, salle de bain, salle d?eau et balcon La Résidence équipé par : ? Deux accesseurs ? Chauffage centrale ? Menuiserie Aluminium et stores électriques ? Placard et dressings agencés ? Place de parking sous sol Superficie couvert : 109m² Prix : 291.500dt (TTC) Pour plus d?information n?hésiter pas de nous contacter sur : 90 706 552 Visite des biens disponible 7jrs/7jrs Satisfaction garantie",https://www.tayara.tn/listings/appartements-2/fd4ae539-e034-4773-8321-085fc1dcb532/magnifique-appartement-
335,645,2018-07-16T13:35:02,fcf9a9b7-15c4-4858-9ba2-220ff80a46fa,Appartement,Bel Appartement Pieds Dans L'Eau À Maison De La Mer Marina Kantaoui,"Sousse, Kantaoui",Appartements,m²,2.0,,420000.0,"À vendre un très bel appartement au 2 eme étage avec vue tres engagée et imprenable sur La mer dans le port de Kantaoui ( maison de la mer ) sécurisée et bien gardée, L'appartement d'une superficie de 80m2 comprend un salon avec balcon et terrasse offrant une très belle vue sur mer deux chambres une salon, Une cuisine totalement équipée, une salle de douche, Climatiseurs... Si vous êtes intéressé merci de prendre contact 00216 52 977 159 ou 0033 785458214",https://www.tayara.tn/listings/appartements-2/fcf9a9b7-15c4-4858-9ba2-220ff80a46fa/bel-appartement-pieds-dans-l'eau-à-maison-de-la-mer-marina-kantaoui
346,670,2018-07-16T13:34:01,fc6e235d-1462-40a9-ace8-16524c55d7aa????-??-??-?????-appt-s+3-??-?????-???-237-???-?????,Appartement,???? ?? ?? ????? Appt S+3 ?? ????? ??? 237 ??? ?????,"Ariana, Ennasr",Appartements,m²,4.0,,237000.0,??????? ??????? ???????? ?????? ???? ????? ??????????? ?? ???? ????? ??????? ?? ????? 2 Appartement S+3 ?? ????? ????? Haut Standing ???? ???? ????????? ??? 237 ??? ????? Salon + 3 Chambres + balcon + Sdb + Cuis ... ? ???????? ??????? ????? ??? ??? ???????? ????? ?????????? ??????? ? agence Accessimmo ???? ????? 26 883 425,https://www.tayara.tn/listings/appartements-2/fc6e235d-1462-40a9-ace8-16524c55d7aa/????-??-??-?????-appt-s+3-??-?????-???-237-???-?????
