Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T15:11:03,Tayara TN,fef6e60f-a297-47aa-b1ff-b149ddfe6825???-?????-,À Vendre,Appartements,??? ?????,"Tunis, Médina",Appartements,m²,3.0,,40.0,??? ??????? ????? ????? ????? ??????? ??? ???? ???????? ??? 3 ??? . ????? ? ???? ????????? 98555130,https://www.tayara.tn/listings/appartements-2/fef6e60f-a297-47aa-b1ff-b149ddfe6825/???-?????-
2018-09-03T15:10:56,Tayara TN,fedd7666-c0d0-4004-93d0-ccff8687e413,À Vendre,Appartements,A Vendre Un Bel Appartement S+2 À L'Afh Mrezga Hammamet,"Nabeul, Mrezga",Appartements,m²,2.0,,295000.0,"A vendre un appartement à troisième étage se situé à L’AFH Mrezga Hammamet Il se compose de deux chambres à choucher, une salon , une cuisine , salle de bain et un terrasse 26m Superficie : 120m Prix : 295 MD Pour plus d’information contacter le num 58629329",https://www.tayara.tn/listings/appartements-2/fedd7666-c0d0-4004-93d0-ccff8687e413/a-vendre-un-bel-appartement-s+2-à-l'afh-mrezga-hammamet-
2018-09-03T15:10:54,Tayara TN,ffd8a9b6-9d5d-4996-bf61-6fc2ed31e470,À Vendre,Appartements,Appartement Inachevée,"Nabeul, Nabeul",Appartements,m²,3.0,,1000.0,A vendre au jasmin en face kiosque Shell appartement inachevée surface 118 mètre prix 1000 d téléphone 98720918,https://www.tayara.tn/listings/appartements-2/ffd8a9b6-9d5d-4996-bf61-6fc2ed31e470/appartement-inachevée-
2018-09-03T15:10:49,Tayara TN,fed0599c-deaa-4fc1-be8a-b9e59b330122,À Vendre,Appartements,Appartement S+3-Ennasser 2,"Ariana, Ennasr",Appartements,m²,3.0,,280000.0,"On met à la vente un coquet appartement S+3 dans une résidence calme et sécurisée à Ennasser 2 d'une superficie de 160 m². Il dispose d'une place de parking au sous-sol et d'un ascenseur. L'entrée donne sur un salon avec terrasse, une cuisine équipée et agencée avec un coin de repas et un séchoir, et une salle d'eau invités avec toilettes. On trouve aussi trois chambres à coucher dont l'une avec balcon et une salle de bain avec toilettes. L'appartement est doté de caméras de surveillance et d'interphone. Climatisation en split et chauffage central sont à la disposition. Pour plus d'information Veuillez contacter votre conseiller Mr Zied Chakroun 58 309 927 / 71 238 600, négociateur en immobilier, Lavitrineimmo.com, l'agence immobilière nouvelle génération.",https://www.tayara.tn/listings/appartements-2/fed0599c-deaa-4fc1-be8a-b9e59b330122/appartement-s+3-ennasser-2
2018-09-03T15:10:47,Tayara TN,ffc4080e-b19a-49d0-9835-899fd6ad0817,À Vendre,Appartements,Appartement (S+2) À Chatt Mariem Pieds Dans L'Eau,"Sousse, Akouda",Appartements,m²,2.0,,250000.0,"Cet appartement (s+2) de 80 m² occupe le deuxième étage d'une nouvelle résidence pieds dans l'eau elle possède une piscine et un centre spa pour le bonheur des enfants. l'entrée donne sur un salon au revêtu de marbre blanc bénéficie de volumes généreux ouvrant sur un balcon qui offre une vue imprenable sur la mer. En avançant à la partie nuit on découvre deux chambres a coucher ,elles se partagent une salle de bain commune Quant à la cuisine elle est totalement équipée d'une plaque, d'un four, d'un micro-onde et d'un réfrigérateur, et ouvre sur un séchoir de buanderie . standing et équipement -entrée sécurisée 24 h -chauffage central -climatiseur individuel - menuiserie extérieure en PVC double vitrage -boiserie noble -volet roulants électrique -isolation phonique et thermique -revêtements en grès dans la masse sol chambres -salle de bain baignoire jacuzzi . -cuvette suspendu et chasse encastrable Envie de savoir plus ? De visiter ? N’hésitez pas à nous contacter Soyez le bienvenue à notre agence Immobilière NEW WAY agence immobiliére (agréée) Nouvelle génération Rue Hassen Ben Said 4051 khezema ouest sousse. votre conseiller : Ali Zaâtir: 28 614 614/ 73 275 544 Votre conseillère : ACHWEK SEDDIK 28 615 615 / (Viber et Whatsapp) /73 275 544 NEW WAY agence immobiliére (agréée) Nouvelle génération Nos services : * Évaluation gratuite * Visite gratuite * Connaissance détaillé du marché * Conseils juridique et financier * Accompagnement jusqu’a la signature du contrat CONSEIL & TRANSACTION NEW WAY agence immobiliére (agréée) Nouvelle génération",https://www.tayara.tn/listings/appartements-2/ffc4080e-b19a-49d0-9835-899fd6ad0817/appartement-(s+2)-à-chatt-mariem-pieds-dans-l'eau
2018-09-03T15:10:33,Tayara TN,ff9d9a19-baa4-4e97-9339-cc7bee6bfeba,À Vendre,Appartements,Appartement (S+3) Proche De Toute Commodité À Sahloul,"Sousse, Sahloul",Appartements,m²,3.0,,350000.0,"Cet appartement (s+3) de 175 m² occupe le deuxième étage d'une petite résidence de six appartements répartie sur deux niveaux gardé et sécurisée,récemment construite en 2017,située dans un quartier résidentiel à Sahloul. A l'entrée on découvre un salon revêtu du marbre kadhel ; Il est lumineux grâce à sa baie vitrée qui donne accès à un balcon. La cuisine est agencée par des éléments de rangements et équipée d'une plaque, une hotte aspirante, et un four . Une salle d'eau pour les invités complète la partie jour. Un couloir nous mène à la compartiment nuit qui loge une suite parentale lumineuse grâce à ses larges baies vitrées qui ouvre sur un balcon,elle est munie d'un dressing et son propre cabine de douche ;les deux autres chambres à coucher , une parmi ces deux chambres bénéficie par son dressing et complétée par un balcon et l'autre chambre est équipée par un dressing pour plus de rangements ; Elles se partagent une salle de bain avec baignoire . cet appartement profite d'un bon emplacement stratégique grâce à sa proximité de toute commodité . -cet appartement avec une attestation de propriété individuel. Différentes typologies et superficies , (S+2) et (S+3) sont disponibles. Standing et équipements : - résidence gardée et sécurisée 24/h - emplacement stratégique - architecture moderne - ascenseur - porte intérieur et extérieur en bois noble - revêtement en marbre salon et chambres . - menuiserie aluminium double vitrage . - volets roulants électriques - chauffage central - chasse d'eau encastrable et cuvette suspendue -Faïence de gamme luxueuse -Staff lisse décoré -Sanitaire haute gamme -Parabole collective La place de parking au Sous Sol à 13.000 DT Envie de savoir plus ? De visiter ? N’hésitez pas à nous contacter Soyez le bienvenue à notre agence Immobilière NEW-WAY( agréée) Rue Hassen Ben Said 4051 khezema ouest sousse. Votre Conseiller : ALI ZAÂTIR: 28 614 614 /73 275 544",https://www.tayara.tn/listings/appartements-2/ff9d9a19-baa4-4e97-9339-cc7bee6bfeba/appartement-(s+3)-proche-de-toute-commodité-à-sahloul
2018-09-03T15:10:32,Tayara TN,fb8cd3d1-0dc3-4590-ba6a-013ff68d3ebc,À Vendre,Appartements,Vente Appartement À Nkhilette - Ariana 20Mn De Tunis,"Ariana, Ariana",Appartements,m²,3.0,,125000.0,"Un appartement au rez de chaussée à vendre, composé de Salon et 3 chambres, cuisine et salle de bain, deux petits balcons + place de parking Ariana, quartier Nkhilette. 125 mille dinars. Téléphone : 98962659",https://www.tayara.tn/listings/appartements-2/fb8cd3d1-0dc3-4590-ba6a-013ff68d3ebc/vente-appartement-à-nkhilette-ariana-20mn-de-tunis
2018-09-03T15:10:27,Tayara TN,fd9cb007-c355-4740-8f8b-b90c473c1a5c,À Vendre,Appartements,Un Bel Appartement Pas Loin De Hotel Bel Azur 1 Ere Main O,"Nabeul, Hammamet Nord",Appartements,m²,1.0,,130000.0,"a vendre bel appartement se compose d'un salon, une chambre à coucher , salle de bain, cuisine prix 130md",https://www.tayara.tn/listings/appartements-2/fd9cb007-c355-4740-8f8b-b90c473c1a5c/un-bel-appartement-pas-loin-de-hotel-bel-azur-1-ere-main-o-
2018-09-03T15:10:15,Tayara TN,fd64ff1f-9d0e-48c1-a6e4-96c06e3ac41a,À Vendre,Appartements,"""Sm"" Un Superbe Appartement À Vendre","Ariana, Ariana",Appartements,m²,3.0,,170000.0,"Casa Imed vous propose un appartement à nkhilette. Offre spécial a ceux qui cherche les occasions Appartement de luxe très propre et prestigieux en 1er étage Avec Finition moderne, et une vue extraordinaire Il dispose d'un grand salon généreux balcon +3 chambres +cuisine équipé et salle de bain spacieuse + toilette, avec terrasse 50 m² avec barbecue Appartement bien préparé par climatiseur + chauffage central Et encore avec un abri pour 1 véhicule Superficie : 147m² Prix :170.000dt négoxciable Reference : AA002 Pour plus d’information n’hésitez pas à contactez votre conseillère en immobilier 58905488 Nous sommes à votre service (même samedi & dimanche) Visite du bien disponible (fixer un RDV) Satisfaction garantie",https://www.tayara.tn/listings/appartements-2/fd64ff1f-9d0e-48c1-a6e4-96c06e3ac41a/-sm-un-superbe-appartement-à-vendre-
2018-09-03T15:10:13,Tayara TN,fe9d4843-ca19-43a0-9c5d-b47715a01645,À Vendre,Appartements,Appartement (S+1) À Hergla Près De La Mer,"Sousse, Hergla",Appartements,m²,1.0,,89000.0,"Devenez propriétaire d'un appartement (s+1) de 60 m² se situe au deuxième étage d’une résidence prés de la mer .son atout majeur est son emplacement stratégique. Elle se situe à quelque mètres de la mer. Cette dernière est gardée et bien sécurisée . A l’entrée, on découvre la pièce de vie, elle est lumineuse grâce à son accès à un séchoir . Une kitchenette aménagée est ouverte sur le salon . La partie nuit loge une chambre à coucher et une salle de bain avec douche . Équipements -climatiseur en Split -menuiserie en aluminium voles roulants manuels Envie de savoir plus ? De visiter ? N’hésitez pas à nous contacter Soyez le bienvenue à notre agence Immobilière NEW WAY agence immobiliére (agréée) Nouvelle génération Rue Hassen Ben Said 4051 khezema ouest sousse. votre conseiller : Ali Zaâtir: 28 614 614 / 73 275 544 Votre conseillère : ACHWEK SEDDIK 28 615 615 /73 275 544 NEW WAY agence immobiliére (agréée) Nouvelle génération Nos services : * Évaluation gratuite * Visite gratuite * Connaissance détaillé du marché * Conseils juridique et financier * Accompagnement jusqu’a la signature du contrat CONSEIL & TRANSACTION NEW WAY agence immobiliére (agréée) Nouvelle génération",https://www.tayara.tn/listings/appartements-2/fe9d4843-ca19-43a0-9c5d-b47715a01645/appartement-(s+1)-à-hergla-près-de-la-mer
