,Unnamed: 0,Extraction_date,Reference,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
0,20,2018-07-16T14:05:36,2831598,Appartement,Chambre individuelle,"Tunisie,Tunis,Cite El Khadra,Cite El Khadra",,m²,3.0,,250.0,"une fille fonctionnaire cherche une colocatrice pour partager un appartement (étage de villa) constituée de deux vaste chambres et une hole +cuisine meublé (gaz de ville) et salle de bain , (la chambre nn meublé) avec une fille fonctionnaire propre ,respectueuse et non fumeuse",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831598
1,22,2018-07-16T14:05:31,2831585,Appartement,Partage apart,"Tunisie,Ariana,Ariana Ville,El Menzah 6",100,m²,3.0,,165.0,"3 jeunes filles fonctionnaires cherchent une quatrième fille sérieuse pour partager un apart s+3 . chambre individuelle part 165dt . veuillez nous contacter sur 98822295, disponible à partir de début août",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831585
2,24,2018-07-16T14:05:24,2815556,Appartement,Etage de villa s plus 3 a ennasr 2 wb937,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",140,m²,4.0,,950.0,"a louer a ennasr 2 pour 950 dt par mois un etage de villa s plus 3 (140m) avec climatisation , une salle de bain et une salle d'eau , 2 eme etage (wb937)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2815556
3,26,2018-07-16T14:05:21,2777893,Appartement,Une chambre indiv pour fille a el omrane superieur,"Tunisie,Tunis,El Omrane Superieur,El Omrane Superieur",80,m²,2.0,,140.0,"a louer pour jeunes filles à el omrane supérieur des chambres individuelles luxueuses dans une résidence sécurisée prés de toutes commoditées et des stations de bus :  38 b , 14a , 78 et de la spéciale et à 10 min à pieds du métro 3  prix à partir de : 150 dt/mois  contacter : 54 443 193",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2777893
4,27,2018-07-16T14:05:18,2831583,Appartement,Maison s2 à chotrana 3,"Tunisie,Ariana,La Soukra,Chotrana 3",110,m²,2.0,,500.0,"s+2, salon grande avec placard et climatiseur. cuisine avec placard, gaz et séchoire, salle d'eau avec douche, place (allée) pour voiture.   gsm: 52 135 206",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831583
5,29,2018-07-16T14:05:11,2791959,Maison,Villa jardin d' el menzeh 2,"Tunisie,Ariana,Mnihla,Jardins d'el Menzah",700,m²,,,10000.0,"grande  villa, surface totale bâtie de 700 m²  sur un terrain de 500 m², faisant le coin ,situé sur l?avenue principale  avenue les jasmins , idéale pour une résidence, une institution, une banque ,une école privée ou pour un investisseur.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2791959
6,31,2018-07-16T14:05:08,2782757,Maison,Espace pour depot ou park,"Tunisie,Sfax,Sfax Sud,El Khazzanette",4600,m²,,,1500.0,"a louer un espace de 4600 m2 cloture , avec 2 entres et alimente situe a la route de menzel chaker km 11 , kassa boumerra , sur la route principlae qui peut étre utilisé comme dépot de toutes activités commerciales stokage ou autre équipé par électricité et eau pour plus d'infos contactez 23322118 ou 21441810",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2782757
7,33,2018-07-16T14:05:05,2820177,Appartement,Appartement haut standing l aouina,"Tunisie,Ariana,La Soukra,La Soukra",50,m²,2.0,,380.0,"a louer un jolie appartement s+1 en très bonne état + cuisine+ douche + gaz de ville + climatiseur, cet appartement est situé à cite taieb mhiri l'aouina",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820177
8,34,2018-07-16T14:04:59,2791201,Appartement,Étage nouvel construction,"Tunisie,Bizerte,Bizerte Nord,Bizerte",100,m²,3.0,,650.0,l'immobilière saiek & belhouane met en location:  un luxueux étage de villa nouvel construction à cité la santé.  composé d'un salon + 2 chambres + cuisine installé + salle de bain jacuzzi+ salle d'eau +balcon.  à 650 dt le mois.  à contacter: 70 001 109/ 52 816 833/ 31 51 99 66.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2791201
9,35,2018-07-16T14:04:59,2825412,Appartement,Appartement plein vue sur mer,"Tunisie,Bizerte,Bizerte Nord,Bizerte",50,m²,2.0,,700.0,l'immobilière saiek & belhouane met en location:  un spacieux appartement aux grottes bizerte plein vue sur mer.  composé d'un grand salon et salle à manger + salle de bain + cuisine+ chambre à coucher+ terrasse.  à 700 dt le mois pour location annuel.  à contacter: 70 001 109/ 52 8168 33/22 50 99 66.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2825412
10,39,2018-07-16T14:04:49,2831542,Appartement,Chambre meublée pour étudiante dans un appart,"Tunisie,Nabeul,Hammamet,Hammamet",,m²,1.0,,150.0,offre une chambre meublée pour étudiante dans un appartement a hammamet pas loin de la cite universitaire. l'appartement de haut standing est occupé par une dame âgée. possibilité de logement en contre partie de s'occuper de la dame. merci de contacter par mail,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831542
11,42,2018-07-16T14:04:40,2828154,Appartement,Etage villa,"Tunisie,Tunis,Le Bardo,Khaznadar",125,m²,3.0,,660.0,alouer appartement s+3 imeuble star 1etage avec gaz devie citer gardie jours et nuit pour petit famille  contacter mehrez 20 565063 0u53 160583,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828154
12,43,2018-07-16T14:04:35,2831540,Appartement,Studio s plus 1,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz",,m²,2.0,,490.0,"pour les vacances d'été je vous propose studio s+ 1 meublée , situé sur la route principale et près de la plage (5min par voiture ). il se compose d?un  salon  et  balcon , cuisine équipée avec plaque et élément de rangement, une salle d'eau et une chambres a coucher.     contacter le propriétaire 50871834",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831540
13,46,2018-07-16T14:04:30,2823277,Appartement,S plus 3 au rdc,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel",150,m²,2.0,,450.0,agence immobilière  bestimmo met à votre disposition un appartement s plus 3 au rdc à boumhal el bassatine 2    n'hésitez pas à prendre contact pour de plus amples renseignements ou pour prendre rdv 29298380 de 9h à 19h,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823277
14,47,2018-07-16T14:04:29,2831524,Maison,Rez de chaussé de villa,"Tunisie,Manouba,Mannouba,La Mannouba",350,m²,,,600.0,a louer:rdc de villa à manouba 5min station métro 4 . composé de 03 chambres à couché + sallon+ salle d'eau+ jardin pour 03 étudiantes filles  ingénieurs informatiques.  pour plus d'info appeler l'agent immobilier sur: 22229863/53770772,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831524
15,51,2018-07-16T14:04:14,2699559,Appartement,Ain zaghouan,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",,m²,3.0,,750.0,a louer appartement haut standing dans une résidence calme et gardée.  l'appartement se compose de  3 chambres avec placards+ salon + salle de bain + salle d'eau + cuisine avec séchoir + chauffage central + climatisation.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2699559
16,53,2018-07-16T14:04:08,2817196,Maison,Local 100m,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel",100,m²,,,500.0,a louer 100m pour dépôt   prix payable par trimestre,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2817196
