Extraction_date,Marketplace,Reference,Status,Category,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
2018-09-03T12:59:34,Tunisie-annonce TN,2861734,A louer,Maison,Particulier villa sur la route de bizerte mnihla,"Tunisie,Ariana,Mnihla,Mnihla",220,m²,,,980.0,"particulier met à la location une villa située dans une zone calme sur la route de bizerte minihla.   elle se compose de 3 étages : première étage comporte un salon,  1 séjour, salle d'eau, cuisine interne encastrée et cuisine externe, jardin devant la maison et jardin derrière avec une place pour la voiture et un petit coin à manger dans le jardin et une place pour mettre les bricolages.  deuxième étages: salle de bain, 2 chambres d'enfants avec grand placard  chacune. grande chambre de parent avec coin salon, balcon, dressing et salle d'eau.   troisième étage présente une place pour lave linge, un placard dans une petite chambre à part et accès à l’extérieur.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2861734
2018-09-03T12:59:31,Tunisie-annonce TN,2807414,A louer,Appartement,S2 meublé à la marsa ennassim 0775,"Tunisie,Tunis,La Marsa,Marsa Ennassim",110,m²,3.0,,1800.0,"l'affiche immo propose à la location un bel s+2 meublé, dans un quartier calme et résidentiel à la marsa ennassim. il est composé, dans sa partie jour, d'un lumineux salon salle à manger, une salle d'eau invités et une cuisine équipée. la partie nuit se compose de deux chambres à coucher et une salle de bain commune. une place de parking est disponible au sous-sol.    pour plus d'informations veuillez contacter votre conseiller boubaker mlayah au +216 55 990 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2807414
2018-09-03T12:59:26,Tunisie-annonce TN,2344636,A louer,Appartement,Petite villa,"Tunisie,Tunis,La Marsa,Cite Essalama",100,m²,3.0,,1400.0,deux chambres climatisé grand salon salle a manger agreable et ensoleillé chauffage central petit jardin meublé pour etranger pour expatrier merci,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2344636
2018-09-03T12:59:21,Tunisie-annonce TN,2563083,A louer,Appartement,Marsa coté marché du dimanche,"Tunisie,Tunis,La Marsa,Cite Erriadh",100,m²,3.0,,1400.0,appartement au premier etage dans un triplex avec garage et meublé entièrement à la marsa a rue de venise coté pépinière 3 chambres avec placards grand salon  et cuisine,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2563083
2018-09-03T12:59:20,Tunisie-annonce TN,2846313,A louer,Appartement,Deux studios,"Tunisie,Tunis,Carthage,Salambo",50,m²,2.0,,500.0,pour étudiantes ihec  ou jeune fille  fonctionnaires deux studios a salambo  a 100m de la plage semi meublé lumineux avec jardin,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2846313
2018-09-03T12:59:06,Tunisie-annonce TN,2815285,A louer,Appartement,Appt s3 meublé jardins de carthage,"Tunisie,Tunis,Ain Zaghouan,Jardins de Carthage",1715,m²,4.0,,2000.0,"fb.1016   contacter notre conseiller en immobilier ahmed au 56306032.     loyer : 2000   type : s+3   superficie : 171 ,5 m²   adresse : jardins de carthage     a louer un appartement s+3 meublée (seulement pour long durée) très haut standing, dans une résidence très calme et bien sécurisée.   résidence gardée et clôturée.   2 ascenseurs.   cuisine bien agencée plaque hottes four   salles de bain et salles d’eau agencées.   portes en bois noble.   dressing dans chambres agencé   revêtement en marbre 1er choix   sanitaires de premier choix.   menuiserie aluminium double vitrage.   rideaux électrique.   chauffage et climatisation central. lg   visiophone dans chaque appartement.   parabole numérique.   isolation phonique et thermique.     l’appartement est composé de :   - grand salon avec un balcon   - cuisine avec séchoir équipé agencé plaque hotte four   -suite parent avec salle de bain   - 2 chambres a coucher enfant avec grand dressing   - salle de bain commun enfant     agence immobilière ari",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2815285
2018-09-03T12:58:55,Tunisie-annonce TN,2740153,A louer,Appartement,S plus 2 hst a ennasr 2 wb812,"Tunisie,Ariana,Ariana Ville,Cite Ennasr 2",130,m²,3.0,,1200.0,"a louer a ennasr 2 pour 1200 dt par mois un spacieux s plus 2 haut standing flambant neuf (130m) avec chauffage central , climatisation , dressings , une salle de bain et une salle d'eau , cuisine equipée et installée ,  place parking sous sol (wb812)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2740153
2018-09-03T12:58:55,Tunisie-annonce TN,2861750,A louer,Appartement,Appt meuble s3 rue russie centre ville,"Tunisie,Tunis,Bab Bhar,Bab Bhar",140,m²,4.0,,900.0,l'agence anas immobiliervous propose a louer a rue russie a proximite de la place barcelone un appartemet richement meuble compose de salon 3 chambres cuisine et salle d'eau prix fixe 900d tel 52577598,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2861750
2018-09-03T12:58:51,Tunisie-annonce TN,2861673,A louer,Appartement,Appart pour etudientes filles,"Tunisie,Manouba,Mannouba,La Mannouba",55,m²,1.0,,580.0,"un appart s+1 composé d'un sallon, une chambre avec plaquart, salle d'eau, cuisine, séchoir et balcon.  l'appartement est équipé de; chauffage central- tv -plaque hotte aspirante -machine a lavé.  la résidence est sécurisé et gardée.  l'appartement est  proche au station métro moncef bey    tel 92525763 22847374",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2861673
2018-09-03T12:58:48,Tunisie-annonce TN,2804800,A louer,Appartement,S2 neuf sur la route du relais la marsa 1006,"Tunisie,Tunis,La Marsa,Marsa Erriadh",100,m²,3.0,,1500.0,"l'affiche immo propose à la location un très bel s+2 neuf, dans une résidence calme et sécurisée sur la route du relais, la marsa. il est composé, dans sa partie jour, d'un lumineux salon salle à manger, une cuisine équipée et une salle d'eau invités. la partie nuit se compose de deux chambres à coucher avec dressings et une salle de bain commune.    pour plus de renseignements veuillez contacter votre conseiller boubaker mlayah au +216 55 990 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2804800
